芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
華世 京,かせ きょう,7月5日,東京都世田谷区,日本女子大学附属高校,171㎝,かせきょー、カナ,男役,雪組,,
湖春 ひめ花,こはる ひめか,4月18日,兵庫県伊丹市,百合学院高校,158㎝,ひめ花、まなみん,娘役,花組,,
和真 あさ乃,かずま あさの,5月28日,埼玉県さいたま市,女子学院高校,170㎝,プク、プクジ、プクプク,男役,月組,,
鳳城 のあん,ほうじょう のあん,9月7日,神奈川県鎌倉市,市立御成中学,174㎝,にょあん、のんのん,男役,宙組,,
霧乃 あさと,きりの あさと,6月25日,千葉県松戸市,雙葉高校,170㎝,まりお、あさと,男役,雪組,,
乙華 菜乃,おとか なの,1月17日,兵庫県川西市,百合学院高校,161㎝,ななごん、なの,娘役,星組,,
鏡 星珠,かがみ せいじゅ,8月5日,兵庫県神戸市,県立兵庫高校,169.5㎝,ふう、かがみー,男役,花組,,
一乃 凜,いちの りん,5月2日,神奈川県横浜市,森村学園高等部,160㎝,のりん、べーべ,娘役,月組,,
華純 沙那,かすみ さな,12月1日,兵庫県宝塚市,市立西宮高校,160㎝,みきちー、まるこ,娘役,雪組,,
愛花 いと,あいか いと,3月6日,福岡県福岡市,福岡女学院高校,158㎝,いと、あいか、もっぴー,娘役,星組,,
遼 美来,りょう みくる,9月14日,千葉県市原市,志学館高等部,169㎝,おやす、くる,男役,花組,,
風羽 咲季,かざはね さき,12月12日,大阪府豊中市,府立桜塚高校,164㎝,としこ、とこし,娘役,宙組,,母は五月ふたば
渚 ゆり,なぎさ ゆり,8月20日,千葉県千葉市,市立千葉高校,164㎝,なぎさ,娘役,宙組,,母は美咲すずな
花妃 舞音,はなひめ まのん,11月13日,秋田県秋田市,秋田大学教育文化学部附属中学,163㎝,まのん,娘役,月組,,
夏南 幸,かなん こう,7月24日,東京都八王子市,クラーク記念国際高校,176㎝,かなん、ちい,男役,宙組,2021年,
夢翔 みわ,ゆめと みわ,2月13日,東京都板橋区,跡見学園中学,168㎝,みわ,男役,雪組,,
葉咲 うらら,はさき うらら,9月20日,福岡県福岡市,福岡女学院高校,160㎝,urara,娘役,宙組,,
凰陽 さや華,おうひ さやか,12月18日,長野県上田市,長野県上田高校,169㎝,りんか,男役,星組,,
宇咲 瞬,うさき しゅん,1月15日,兵庫県宝塚市,梅花高校,168㎝,しゅん、うさき,男役,花組,,
美遥 あゆ,みはる あゆ,7月25日,滋賀県大津市,梅花高校,163㎝,あゆ,娘役,花組,,
涼宮 蘭奈,すずみや らんな,6月1日,静岡県掛川市,市立東中学,168㎝,めいめい,男役,月組,,
郁 いりや,いく いりや,4月14日,香川県小豆郡,山陽女子高校,172㎝,まなか、はせ,男役,宙組,,
天音 ことは,あまね ことは,5月10日,広島県広島市,AICJ高校,164㎝,あお,娘役,雪組,,
夢陽 まり,ゆめひ まり,8月30日,大阪府吹田市,関西大倉高等学校,161㎝,マリナ、マリ、マリー,娘役,雪組,,母は毬菜友
月翔 きら,つきしょう きら,3月29日,兵庫県尼崎市,武庫川女子大学附属高校,169㎝,まいまい、きら,男役,花組,,
彩名 美希,あやな みき,11月24日,新潟県新潟市,新潟明訓高校,169㎝,さとり、みっきー,男役,雪組,,
飛翠 真凜,ひすい まりん,5月14日,長崎県長崎市,海星高校,169㎝,まりりん,男役,星組,,
真澄 ゆかり,ますみ ゆかり,7月6日,神奈川県横浜市,Southridge High School,161㎝,ましゃ、まさのん,娘役,花組,,
花咲 美玖,はなさき みく,9月24日,大阪府吹田市,咲くやこの花高校,163㎝,みく,娘役,宙組,,
咲園 りさ,さきぞの りさ,2月9日,岐阜県中津川市,中京高校,159㎝,きょきょん,娘役,星組,,
慧那 まや,けいな まや,5月21日,埼玉県東松山市,東邦音楽大学附属東邦高校,171㎝,まや,男役,花組,,
澪 あゆと,みお あゆと,11月28日,茨城県つくば市,牛久栄進高校,170㎝,あゆり、おあゆ,男役,月組,,
蘭叶 みり,らんか みり,9月23日,大阪府大阪市,帝塚山高校,160㎝,みりり、あみか,娘役,月組,,
樹澄 せいや,きすみ せいや,1月21日,大阪府大阪市,小林聖心女子学院高校,172㎝,コッシー、るね,男役,星組,,
大瀬 いぶき,おおせ いぶき,4月27日,兵庫県神戸市,県立神戸高塚高校,171㎝,おーでぃー、だいだい、サキ,男役,月組,,
波輝 瑛斗,なみき えいと,5月6日,東京都世田谷区,日本女子大学附属高校,174.5㎝,エイティ、えりこむ,男役,宙組,,
綺乃 ゆず,あやの ゆず,11月21日,東京都世田谷区,東京女学館高校,171㎝,ゆず、さきちー,男役,月組,,
朝稀 さいら,あさき さいら,3月15日,東京都渋谷区,日本大学櫻丘高校,169㎝,ぴな、ひなこ,男役,星組,,
藤影 ゆら,ふじかげ ゆら,2月14日,京都府京都市,京都国際フランス学園,170㎝,ゆっきー、ゆらのすけ,男役,雪組,,
