芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
凪七 瑠海,なぎな るうみ,11月11日,東京都世田谷区,田園調布雙葉高校,170㎝,カチャ、エリカ、なぎ,男役,宙組→月組→専科,,
望海 風斗,のぞみ ふうと,10月19日,神奈川県横浜市,法政大学女子高校,169㎝,だいもん、ふうと,男役,花組→雪組,2021年,
成花 まりん,なるか まりん,7月16日,神奈川県鎌倉市,北鎌倉女子学園中学,159㎝,にゃる,娘役,星組,2007年,
美弥 るりか,みや るりか,9月12日,茨城県古河市,桜丘女子高校,168㎝,るりか,男役,星組→月組,2019年,
純矢 ちとせ,じゅんや ちとせ,7月22日,東京都港区,東洋英和女学院高等部,167㎝,せーこ,男役→娘役,雪組→宙組,2019年,
碧海 りま,あおみ りま,2月14日,大阪府豊中市,府立豊中高校,167㎝,きむち、きむきむ、りま,男役,星組,2012年,
舞姫 あゆみ,まいき あゆみ,5月10日,広島県廿日市市,山陽女子高校,163㎝,くらっち,娘役,宙組,2010年,
明日海 りお,あすみ りお,6月26日,静岡県静岡市,静岡雙葉中学,169㎝,さゆぽん、りお、みりお,男役,月組→花組,2019年,
愛輝 ゆま,あいき ゆま,7月7日,広島県福山市,福山暁の星女子高校,172㎝,ゆま、ゴマちゃん,男役,雪組,2009年,
壱城 あずさ,いちじょう あずさ,10月12日,兵庫県神戸市,武庫川女子大学附属高校,169㎝,しーらん,男役,星組,2017年,
花咲 りりか,はなさき りりか,12月26日,大阪府堺市,プール学院高校,162㎝,かず、たけらっちょ,娘役,花組,2006年,
暁 郷,あかつき ごう,4月29日,北海道札幌市,北星学園女子中学,176㎝,Go、あっか,男役,宙組,2008年,
華月 由舞,はなづき ゆま,7月25日,東京都世田谷区,桐朋女子高校,161㎝,エイコ、ゆま,娘役,花組,2011年,
夢咲 ねね,ゆめさき ねね,7月4日,東京都文京区,富山第一高校,164㎝,ねね、にゃにゃ,娘役,月組→星組,2015年,妹は愛加あゆ
澪乃 せいら,みおの せいら,5月13日,東京都八王子市,市立打越中学,163㎝,すー,娘役,花組,2006年,
香翔 なおと,かしょう なおと,8月30日,東京都港区,川村学園高校,169㎝,かなちん,男役,宙組,2009年,
沙月 愛奈,さつき あいな,9月28日,神奈川県相模原市,駒沢学園女子高校,160㎝,あゆっち、あゆな,娘役,雪組,2021年,
妃宮 さくら,ひみや さくら,7月22日,福岡県大野城市,県立筑紫丘高校,159㎝,タマミ、さくら,娘役,宙組,2011年,
流 輝一斗,りゅうき かずと,11月19日,神奈川県茅ヶ崎市,茅ヶ崎市立松浪中学,175㎝,マグロ、マグ、マグたん,男役,月組,2008年,
妃乃 あんじ,ひの あんじ,7月15日,大阪府大阪市,樟蔭高校,160㎝,あんじ、えりちん,娘役,月組,2011年,
白華 れみ,しらはな れみ,6月20日,熊本県菊池郡,熊本マリスト学園高校,163㎝,みきち、れみ,娘役,月組→花組→星組,2012年,
天宮 菜生,あまみや なお,9月26日,埼玉県所沢市,狭山ケ丘高校,167.5㎝,さよか,男役→娘役,花組,2011年,
花夏 ゆりん,はなか ゆりん,10月23日,大阪府吹田市,府立山田高校,159㎝,ゆりん、かよりん,娘役,雪組,2011年,
浦輝 ひろと,うらき ひろと,8月27日,神奈川県横須賀市,関東学院六浦高校,172㎝,みずぼん,男役,花組,2012年,母は越富士子
羽鷺 つばさ,はさぎ つばさ,9月18日,京都府京都市,京都市立深草中学,170㎝,もってぃー,男役,星組,2006年,
白峰 さゆり,しらみね さゆり,5月11日,広島県尾道市,英数学館高校,161㎝,さゆり,娘役,宙組,2007年,
萌野 りりあ,もえの りりあ,2月24日,和歌山県和歌山市,和歌山信愛女子短期大学附属中学,162㎝,ラビ、ラビ助,娘役,宙組,2009年,姉は萌花ゆりあ
蓮城 まこと,れんじょう まこと,11月25日,大分県大分市,県立芸術文化短期大学附属緑丘高校,170㎝,きんぐ、ぴろこ,男役,雪組,2016年,
嶺 乃一真,みねの かずま,11月20日,京都府京都市,京都文教女子高校,168.5㎝,よう,男役,花組,2009年,
遥 奈瞳,はるな ひとみ,4月28日,神奈川県川崎市,カリタス女子高校,159㎝,れいな、ひとみん,娘役,星組,2008年,
沢 希理寿,さわき りず,11月10日,東京都台東区,十文字高校,167㎝,よっしぃ、りず,男役,月組,2012年,
愛花 ちさき,あいはな ちさき,5月15日,東京都練馬区,私立星美学園中学,163㎝,たう、たうらん,娘役,宙組,2014年,
五十鈴 ひかり,いすず ひかり,1月5日,東京都新宿区,川村学園高校,169㎝,ひかり、サトゥー,男役,月組,2009年,
香音 有希,かおん ゆうき,8月3日,東京都世田谷区,トキワ松学園,174㎝,ゆかこ,男役,雪組,2014年,
大月 さゆ,おおつき さゆ,7月3日,石川県能美郡,北陸学院高校,161㎝,なっちゃん,娘役,雪組,2010年,
涼瀬 みうと,すずせ みうと,2月18日,宮城県仙台市,仙台白百合学園中学,170.5㎝,さな、みうと,男役,雪組,2011年,
桜寿 ひらり,おうじゅ ひらり,10月5日,宮崎県宮崎市,日向学院,169㎝,ひらり,男役,雪組,2009年,
姫咲 ひなの,きさき ひなの,7月17日,愛知県名古屋市,椙山女学園高校,160㎝,ひなの,娘役,月組,2007年,
七海 ひろき,ななみ ひろき,1月16日,茨城県東茨城郡,県立水戸第二高校,172㎝,かいちゃん,男役,宙組→星組,2019年,
亜門 真地,あもん まち,5月11日,石川県金沢市,北陸学院高校,172㎝,まち,男役,花組,2006年,
美翔 かずき,みしょう かずき,6月26日,兵庫県神戸市,神戸海星女子学院高校,170.5㎝,えりか、みしょー,男役,月組,2014年,
羽桜 しずく,はざくら しずく,12月22日,北海道札幌市,北海道札幌稲西高校,163㎝,ありさ、あさり,娘役,星組→月組,2009年,
舞椰 莉々,まいや りり,2月2日,東京都目黒区,トキワ松学園,163㎝,まなお、まなティ,娘役,星組,2008年,母は道成ゆた佳、姉は絵麗まりな
柚乃 玲花,ゆずの れいか,6月19日,宮崎県宮崎市,宮崎大学教育文化学部附属中学,163㎝,サリ,娘役,星組,2006年,
愛紗 もも,あいさ もも,1月28日,富山県富山市,県立富山女子高校,159㎝,ももちん、あび,娘役,宙組,2005年,
茉 莉邑薫,まりむら かおる,2月20日,神奈川県川崎市,大西学園高校,169㎝,くん,男役,星組,2008年,
湖々 マリア,ここ まりあ,6月11日,沖縄県那覇市,興南中学,160㎝,あんにゃ,娘役,花組,2009年,
