芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,配属,退団年,備考
宇治 朝子,うじ あさこ,8月3日,大阪府,,百人一首,,娘役,-,1918年,在団中に逝去
高砂 松子,たかさご まつこ,1月17日,鳥取県,,百人一首,,男役,（花組）,1925年,俳優妹は神代錦姪は代々木ゆかり
小川 夏子,おがわ なつこ,,,,百人一首,,,-,1919年,
高濱 喜久子,たかはま きくこ,1月25日,千葉県,,百人一首,,男女両役,-,1921年,夫は加賀二郎
