芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
美鳳 あや,みほう あや,2月23日,兵庫県宍粟市,県立山崎高校,158㎝,あーやん、もあ,娘役,月組,2010年,
柚希 礼音,ゆずき れおん,6月11日,大阪市,四天王寺高校,172㎝,ゆず、れおん,男役,星組,2015年,
美羽 あさひ,みわ あさひ,7月15日,広島市,市立美鈴が丘中学,162㎝,まちゃ、まさみ、まちゃみ,娘役,宙組,2009年,
桜 一花,さくら いちか,4月2日,石川県河北郡,金沢錦丘高校,157㎝,いちか,娘役,花組,2014年,
音姫 すなお,おとき すなお,3月3日,兵庫県宝塚市,県立宝塚北高校,164㎝,おとき、すなお,娘役,月組,2009年,
神月 茜,かみづき あかね,8月24日,神奈川県藤沢市,県立大清水高校,170㎝,カミヅキ、カミィ,男役,雪組,2004年,
高宮 里菜,たかみや りな,10月24日,大阪府箕面市,梅花中学,162㎝,まる、丸（がん）ちゃん,娘役,宙組,2005年,母は高宮沙千
七星 きら,ななせ きら,1月7日,宮崎市,宮崎大学附属中学,160㎝,ゆきみ、きら,娘役,花組,2006年,
舞咲 りん,まいさき りん,11月26日,宮崎市,宮崎女子高校,161㎝,ひめ,娘役,雪組,2020年,
涼城 まりな,すずしろ まりな,12月8日,群馬県安中市,新島学園高校,158㎝,たけまゆ、すっずん,娘役,月組,2009年,
映美 くらら,えみ くらら,6月15日,熊本県菊池郡,熊本信愛女学院高校,158㎝,くらら、もま,娘役,星組→月組,2004年,
奏乃 はると,そうの はると,4月3日,埼玉県大宮市,吉祥女子高校,168㎝,にわ、にわにわ,男役,雪組,,
山科 愛,やましな あい,12月20日,埼玉県大宮市,川村学園,155㎝,しな,娘役,雪組,2008年,
七帆 ひかる,ななほ ひかる,11月18日,茨城県日立市,日高中学,175㎝,えりこ,男役,宙組,2009年,
真野 すがた,まの すがた,7月12日,神奈川県横須賀市,清泉女学院,173㎝,めおちゃん,男役,月組→花組,2011年,
森咲 かぐや,もりさき かぐや,9月13日,宮城県古川市,県立古川女子高校,159㎝,ホッスィー,娘役,雪組,2009年,
真白 ふあり,ましろ ふあり,7月20日,京都市,ノートルダム女学院高校,157㎝,きこ,娘役,星組,2006年,
式部 いろは,しきぶ いろは,1月13日,宮城県仙台市,市立五橋中学,157.5㎝,いろは,娘役,星組,2002年,
華形 ひかる,はながた ひかる,9月26日,東京都中野区,区立第十一中学,167㎝,みつる,男役,花組→専科,2020年,
神 麗華,じん れいか,8月31日,山梨県韮崎市,県立韮崎高校,161㎝,ロボ、なかみほ,娘役,雪組,2010年,
天霧 真世,あまぎり まよ,9月23日,大阪府摂津市,府立茨木西高校,167.5㎝,MAYO,男役,星組,2011年,
青 樹泉,あおき いずみ,1月31日,東京都三鷹市,日本大学第二高校,173㎝,もりえ、ドナウ,男役,月組,2012年,
梅園 紗千,うめぞの さち,5月25日,京都市,華頂女子高校,161㎝,さち、しげち,娘役,星組,2010年,
音乃 いづみ,おとの いづみ,1月30日,東京都国立市,都立府中西高校,160㎝,オトノ、みつい,娘役,宙組,2008年,
葉月 さら,はづき さら,8月12日,大阪府茨木市,梅花高校,162㎝,きい,娘役,月組,2007年,
南海 まり,みなみ まり,10月4日,東京都豊島区,都立小平高校,164㎝,みなみ,娘役,星組,2008年,
大海 亜呼,おおみ あこ,3月23日,大阪市,相愛高校,164㎝,えつー,娘役,宙組,2015年,
華桐 わかな,はなぎり わかな,10月26日,東京都杉並区,東京立正高校,160㎝,わかな,娘役,花組,2007年,
花森 まゆり,はなもり まゆり,10月25日,東京都杉並区,日本音楽高校,160㎝,まゆり,娘役,星組,2003年,
十輝 いりす,とき いりす,2月17日,東京都,新宿区立西戸山中学,177㎝,まさこ,男役,宙組→星組,2016年,
湖咲 ひより,こさき ひより,7月17日,長野県,小諸高校,160㎝,ひより,娘役,星組,2006年,
天翔 ゆうり,てんしょう ゆうり,1月10日,埼玉県,浦和ルーテル学院,171㎝,ゆうりん,男役,宙組,2007年,姉は水城レナ
銀河 亜未,ぎんが あみ,8月9日,岡山県倉敷市,県立倉敷古城池高校,167㎝,まあり,男役,星組,2008年,
花帆 杏奈,かほ あんな,7月15日,愛知県名古屋市,椙山女学園高校,161.5㎝,あんな,娘役,雪組,2012年,
嶺輝 あやと,みねき あやと,7月22日,静岡市,市立竜爪中学,176㎝,きよみ,男役,花組,2007年,
彩 那音,あやな おと,11月9日,神奈川県横浜市,高木学園女子高校,175㎝,ひろみ,男役,月組→雪組,2011年,
天野 ほたる,あまの ほたる,10月10日,愛知県,愛知淑徳高校,164㎝,ほたる,娘役,月組,2010年,
純 あいら,じゅん あいら,3月14日,熊本市,熊本信愛女学院高校,162㎝,あいら,娘役,宙組,2007年,
柊 巴,ひいらぎ ともえ,7月7日,静岡県浜北市,県立浜名高校,169㎝,のり,男役,雪組,2008年,
音瀬 朱夏,おとせ しゅか,5月6日,兵庫県宝塚市,芦屋大学附属高校,172㎝,あき,男役,花組,2002年,
