芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
愛耀子,あい ようこ,10月27日,東京都杉並区,成城学園高等学校,母の芸名,あみ,娘役,2006年,
愛希朱里,あいき しゅり,2月8日,兵庫県三田市,湊川高等学校,尊敬する人と相談,しゅりふるちゃんあき,男役,1998年,
愛海理世,あいみ りせ,12月19日,東京都中野区,恵泉女学園,好きな字を並べる,あり,男役,1998年,
茜みつ希,あかね みつき,9月19日,千葉県鴨川市,鷗友学園女子高等学校,家族で考案,かなみみほ,娘役,2002年,
秋園美緒,あきその みお,8月14日,大阪府高槻市,大阪府立茨木高等学校,家族で考案,そのこそんちゃん,娘役,2003年,
朝比奈慶,あさひな けい,11月19日,東京都世田谷区,梅ケ丘中学校,,比奈,男役,2002年,
亜づさ真鈴,あづさ まりん,10月20日,神奈川県横須賀市,神奈川県立逗葉高等学校,知人と家族で命名,じゅんぱんきちぱんちゃん,娘役,2000年,
綾咲成美,あやさき なるみ,12月21日,宮崎県宮崎市,宮崎女子高等学校,家族で考案,てんちゃんなるみ,娘役,1998年,
彩勢沙樹,あやせ さき,5月19日,兵庫県神戸市東灘区,兵庫県立芦屋高等学校,,ゆりこミロ,男役,2000年,
鮎川夏来,あゆかわ なつき,8月29日,大阪府池田市,大阪府立刀根山高等学校,,PON,男役,2002年,後に鮎川なつきに改名
有香潤,ありか じゅん,8月10日,宮城県仙台市,常盤木学園高等学校,自分で考案,ひら,男役,2007年,
絵莉千晶,えり ちあき,12月16日,大阪府茨木市,大阪府立茨木西高等学校,家族と相談,ちあき,娘役,2010年,
大鳥れい,おおとり れい,11月6日,大阪府池田市,大阪府立渋谷高等学校,オードリー・ヘプバーンより、自分で考案,みどり,娘役,2003年,
風輝マヤ,かざき まや,9月18日,滋賀県栗東町,ノートルダム女学院,家族で考案,きのみ,男役,2003年,
風帆優里,かざほ ゆうり,8月11日,東京都世田谷区,関東国際高等学校,両親が命名,ゆうり,娘役,2001年,
菊穂りな,きくほ りな,11月2日,広島県広島市,広島県立廿日市高等学校,本名,きくほ,娘役,2000年,
貴咲美里,きさき みり,5月30日,鹿児島県名瀬市,大川中学校,家族で考案,みり,娘役,2000年,
北原里麻,きたはら りま,6月26日,東京都品川区,白百合学園,母の芸名より、恩師が命名,やすこりま,娘役,2000年,
幸涼香,こう すずか,7月11日,東京都世田谷区,聖ドミニコ学園高等学校,家族で考案,さちえスズオ,娘役,2001年,
香乃毬花,こうの まりか,2月10日,愛知県瀬戸市,金城学院高等学校,家族で考案,まるこいのまる,娘役,2002年,
越乃リュウ,こしの りゅう,7月23日,新潟県新潟市,新潟市立沼垂高等学校,尊敬する人が選択,リュウナホ,男役,2013年,
小毬なな,こまり なな,6月24日,京都府京都市,東大阪高等学校,,こまり,娘役,1996年,
冴月晃,さえづき あきら,3月10日,大分県別府市,大分県立羽室台高等学校,恩師が命名,ゴト,男役,2000年,
さき望実,さき のぞみ,2月19日,群馬県渋川市,共愛学園,,りっくんRikaco,男役,2001年,
佐久真ゆき,さくま ゆき,3月22日,長野県佐久市,佐久高等学校,尊師が命名,けいちゃんたき子,男役,1996年,
大樹槙,たいじゅ まき,10月6日,東京都北区,東京都立竹早高等学校,家族で考案,かおるたいじゅ,男役,2004年,
貴瀬ゆう,たかせ ゆう,1月28日,埼玉県大宮市,鳩ケ谷高等学校,家族で考案,すみれ,男役,1997年,
達つかさ,たつ つかさ,9月1日,東京都港区,東京都立城南高等学校,両親が命名,こたつゆう,男役,2002年,姉は寿つかさ
立樹遥,たつき よう,11月10日,神奈川県横浜市,横浜学院女子高等学校,,しい,男役,2009年,
柾輝かずさ,まさき かずさ,7月22日,兵庫県神戸市,啓明女学院高等学校,,カズマサキ,男役,2001年,
美稀千種,みき ちぐさ,8月16日,千葉県市川市,山脇学園,恩師が命名,ちーちぐちーくん,男役,,
水夏希,みず なつき,8月16日,千葉県千葉市,千葉県立千葉女子高等学校,恩師が命名,ミズちかナツキ,男役,2010年,
水谷紫乃,みずたに しの,7月30日,神奈川県小田原市,神奈川県立小田原城内高等学校,祖父・水谷竹紫に因む,しの,娘役,1999年,
水原まどか,みずはら まどか,10月22日,東京都杉並区,武蔵野女子学院,家族で考案,みさ,娘役,1998年,
路きよら,みち きよら,12月8日,東京都練馬区,文華女子高等学校,聖書より自分で考案,ちゃーみちる,男役,1996年,
南城ひかり,みなしろ ひかり,10月14日,東京都世田谷区,成女学園,尊敬する上級生が命名,あきよ,娘役,2001年,
未来優希,みらい ゆうき,5月8日,東京都渋谷区,順心女子学園高等学校,尊師が命名,ハマコ,男役,2010年,
武庫歩,むこ あゆむ,6月30日,兵庫県西宮市,甲子園学院,祖父が考案,シバス,男役,2001年,
夢月真生,むつき まお,1月28日,兵庫県神戸市,兵庫県立宝塚北高等学校,家族で考案,TENKO,男役,2001年,
莉理せいら,りり せいら,7月16日,神奈川県横浜市,洗足学園大学附属第一高等学校,知人が命名,せいら,男役,1999年,
