芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
茉莉那 ふみ,まりな ふみ,10月30日,東京都武蔵野市,吉祥女子高校,157.5㎝,おふみ,娘役,星組,,
彩姫 みみ,あやひめ みみ,11月15日,広島県広島市,広島なぎさ高校,161㎝,ゆづき、ゆっき,娘役,月組,,姉は鈴美梛なつ紀
花海 凛,はなみ りん,2月10日,大阪府堺市,帝塚山学院泉ヶ丘中学,162㎝,なーこ、みりん,娘役,花組,,
星丘 しずく,ほしおか しずく,9月18日,愛知県名古屋市,県立明和高校,161㎝,しずく,娘役,月組,,
梨恋 あやめ,りれん あやめ,11月2日,北海道札幌市,藤女子高校,164㎝,あやめ、かじかじ,娘役,宙組,,
花恋 こまち,かれん こまち,2月8日,京都府京都市,同志社女子中学,165㎝,こまち、しまみん,娘役,宙組,,
馳 琉輝,はせ るき,5月27日,東京都江東区,東京大学教育学部附属中等教育学校,171㎝,エイミー,男役,星組,,
滝 みらい,たき みらい,7月10日,愛知県名古屋市,金城学院高校,173㎝,みらい,男役,花組,,
光稀 れん,こうき れん,4月29日,東京都文京区,明治学院高校,173㎝,R、れんにい,男役,花組,,
苑利 香輝,えんり こうき,9月24日,秋田県由利本荘市,聖霊女子短期大学付属高校,170㎝,いせ、えび,男役,雪組,,
愛城 美紗,あいしろ みさ,3月6日,宮崎県宮崎市,日向学院高校,162㎝,とー、みしゃ,娘役,宙組,,
紗香 にいな,さこう にいな,7月12日,東京都世田谷区,成城学園高校,160㎝,にいな、はーにゃ,娘役,雪組,,
水月 胡蝶,みづき こちょう,12月28日,神奈川県横浜市,県立弥栄高校,168㎝,ちぇき,男役,雪組,,
乙妃 優寿,おとひ ゆず,11月1日,東京都国分寺市,都立立川国際中等教育学校,164㎝,おと、ぽぴん,娘役,星組,,
珀亜 れい,はくあ れい,8月27日,大阪府寝屋川市,梅花高校,169㎝,ハク、もっきゅん、るんるん,男役,星組,,
華楽 逸聖,からく いっせい,9月29日,京都府京都市,市立下鴨中学,175㎝,ゆめ、たの,男役,宙組,,
美翠 せいら,みすい せいら,2月22日,三重県四日市市,県立四日市高校,163㎝,せいら、すいらん、ビビ,娘役,花組,,
瑠羽 らいと,るう らいと,11月25日,東京都世田谷区,実践女子学園高校,169㎝,ルーライ、つかりん,男役,星組,,
美渦 せいか,みうず せいか,9月5日,大阪府八尾市,府立夕陽丘高校,164㎝,みゅー、ねー,娘役,月組,,
星沢 ありさ,ほしざわ ありさ,3月8日,大阪府豊中市,関西大学高等部,164㎝,わたみ、ありりん,娘役,雪組,,
雅 耀,みやび よう,4月30日,茨城県つくば市,茗溪学園中学,172㎝,りんオディ、オディセ,男役,月組,,
輝珠 ななせ,きじゅ ななせ,1月10日,大阪府大阪市,帝塚山学院高校,164㎝,ななせ,娘役,宙組,,
海玖 里粋,みくり すい,9月17日,東京都江東区,十文字高校,169㎝,みくぼー、すいみー,男役,宙組,,
榊 歩,さかき あゆむ,1月20日,大阪府羽曳野市,プール学院高校,169㎝,ねむ、さかっきー,男役,雪組,,
絢咲羽 蘭,あやさき うらん,2月4日,神奈川県厚木市,厚木北高校,164㎝,じゃみ,娘役,星組,,
穂波 舞咲,ほなみ まさき,11月14日,愛知県額田郡,椙山女学園高校,172㎝,まちゃ、つぶり,男役,月組,,
八重 ひめか,やえ ひめか,10月27日,愛知県名古屋市,金城学院高校,162㎝,きゃりん、ひめ,娘役,月組,,
志凪 咲杜,しなぎ さくと,3月12日,東京都目黒区,都立園芸高校,171㎝,みさきち、なぎさく,男役,宙組,,
琴華 ひまわり,ことか ひまわり,2月19日,京都府相楽郡,大阪桐蔭高校,164㎝,ひまわり、ことひま,娘役,雪組,,
清羽 美伶,きよは みれい,6月11日,東京都世田谷区,東洋英和女学院高等部,162㎝,みれー、きよれい、れーたん,娘役,雪組,,
纏 涼,まとい りょう,10月7日,神奈川県川崎市,國學院高校,173㎝,まとい、まとりょー,男役,花組,,
千 乃新,せんの あらた,10月5日,大阪府寝屋川市,市立第六中学,170㎝,りか、あらた,男役,雪組,,
輝涼 じゅん,きりょう じゅん,7月12日,京都府京都市,同志社女子高校,170㎝,りょう、じゅん,男役,花組,,
朝比 奈天,あさひな てん,10月27日,兵庫県神戸市,愛徳学園中学,173㎝,てん,男役,宙組,,
桜之 真緒,さくらの まお,3月1日,岡山県真庭市,就実高校,173㎝,さっくん、マーチ,男役,月組,,
華路 らら,はなみち らら,12月9日,大阪府高槻市,市立第二中学,165㎝,らぁ、らら,娘役,花組,,
風 希咲玖,かざき さく,12月17日,兵庫県西宮市,梅花高校,175㎝,かざき,男役,星組,,
白霧 椿,しらぎり つばき,10月1日,大阪府大阪市,帝塚山学院高校,176㎝,くー、ヒデキ,男役,月組,,
