芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
明野 まち子,あけの まちこ,5月11日,京都府京都市,,,オオヤギさんトップシー,男役,1947年,
漣 綱手,さざなみ つなで,7月13日,東京都,,,,,1938年,
浦 妙子,うら たえこ,10月7日,,,本名,,,1936年,
玉虫 光子,たまむし みつこ,1月13日,,,,,,1934年,
夢殿 渡,ゆめどの わたる,,,,,,,1931年,
都 たつみ,みやこ たつみ,6月18日,,,,,,1933年,
富士 美智代,ふじ みちよ,,,,,,,1932年,
淡路 幾代,あわじ いくよ,7月21日,,,,,,1933年,
千里 園子,ちさと そのこ,,,,,おえんちゃん,,1931年,
文屋 秀子,ぶんや ひでこ,3月21日,栃木県日光市,,,,娘役,1932年,退団後は前田光子として阿寒湖の自然環境保護に努めて、「阿寒の母」と呼ばれ、阿寒町名誉町民になる。義父は前田正名
梅香 ふみ子,うめか ふみこ,10月7日,熊本県,熊本市立高等女学校,引田一郎が万葉集から命名,シゲちゃん,娘役,1941年,娘は女優の中島葵
逢阪 壽満子,おおさか せきこ,12月11日,大阪府,,,,娘役,1947年,改名後は逢阪せき子
繪島 千惠子,えじま ちえこ,,,,,,,1932年,改名後は鳳寿美子（おおとり すみこ）妹は葵八重子
雄島 峯子,おじま みねこ,,,,,,,1932年,
尾花 蔦子,おばな つたこ,5月28日,,,,,,1934年,
木曽 邦子,きそ くにこ,,,,,,,1931年,
草上 ひばり,くさかみ ひばり,,,,,,,1932年,
小町 華子,こまち はなこ,,,,,,,1932年,
佐保 美代子,さほ みよこ,7月15日,兵庫県神戸市,大開尋常第一小学校,,べーちゃんヤノちゃん,男役,1944年,マックスファクター メイクアップ・アーティスト1954年洞爺丸事故により死去従姉妹は淺路絢子
白砂 浦子,しらすな うらこ,,,,,,,1929年,
須磨 磯子,すま いそこ,3月3日,,,,すがいさん,娘役,1946年,娘は立ともみ
遠山 夕美子,とおやま ゆみこ,,,,,,,1932年,
花鳥 櫻子,はなとり おうこ,,,,,,,1928年,在団中に死去
原 道子,はら みちこ,,台湾,,,ミッちゃん,,1932年,
