芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
志賀 龍子,しが りゅうこ,11月3日,兵庫県神戸市須磨区,八尾高等女学校,,サーちゃん,,1952年,
花月 澄枝,かつき すみえ,5月9日,大阪府,大阪市立東高等女学校,,タッちゃん,娘役,1952年,
花影 吹雪,はなかげ ふぶき,,,,,,,1948年,
千秋 みつる,ちあき みつる,1月26日,大韓民国京城,,,,,1950年,姉は深緑夏代
櫻間 美幸,さくらま みゆき,2月9日,秋田県秋田市,聖霊高等女学校,,カタミちゃん,,1955年,改名後・櫻間秀子（さくらま ひでこ）
八雲 みどり,やぐも みどり,,,,,,,1947年,
鈴刈 真夕美,すずかり まゆみ,1月30日,大阪府大阪市,,万葉集,ワンコ,,1954年,
勿来 せき子,なこそ せきこ,,,,,,,1948年,
高南寺 光子,こうなんじ みつこ,,,,,,,1946年,改名後・高樹ひろみ（たかき ひろみ）
春日 みさを,かすが みさを,,,,,,,1948年,改名後・春日京子（かすが きょうこ）
五月 一彌,さつき かずや,5月1日,兵庫県尼崎市,大阪府立大手前高等女学校,誕生日,ナカチン,,1952年,
雅笛 ますみ,まさぶえ ますみ,,,,,,,1946年,改名後・雅笛満寿美（まさぶえ ますみ）
川路 立美,かわじ たつみ,10月3日,愛知県,名古屋市金城女子専門高等女学校,本名母の名,リタちゃん,,1958年,
月路 兎志子,つきじ としこ,5月12日,愛知県名古屋市,,夢の世界に相応しく,ピョンコちゃん,,1952年,
田鶴 千重子,たづる ちえこ,1月3日,大阪府,,,みつちゃん,,1955年,改名後・田鶴千恵子（たづる ちえこ）
朝吹 玲子,あさぶき れいこ,,,,,デカコ,,1950年,
若櫻 薫,わかざくら かおる,10月15日,兵庫県神戸市,,咲き誇る嵐の庭の若桜散りにし後も香り残せよ,たけちゃん,,1966年,
都路 東,みやじ あずま,,,,,,,1947年,
