芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,配属,退団年,備考
篠原 淺茅,しのはら あさじ,10月30日,大阪府大阪市,,百人一首,,娘役,,1921年,
瀧川 末子,たきがわ すえこ,1月27日,兵庫県川辺郡小浜村,,百人一首,,男女両役,（花組）,1931年,宝塚音楽学校日本舞踊講師
人見 八重子,ひとみ やえこ,2月15日,大阪府,,百人一首,,,,1930年,
吉野 雪子,よしの ゆきこ,9月1日,大阪府,,百人一首,カーちゃん,娘役,,1919年,夫は楳茂都陸平
