芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
天勢 いづる,あませ いづる,9月19日,兵庫県宝塚市,百合学院高校,166㎝,あませ、いづるん,男役→娘役,雪組,2009年,
彩乃 かなみ,あやの かなみ,8月7日,群馬県前橋市,県立前橋女子高校,160㎝,みほこ,娘役,花組→宙組→月組,2008年,
澪 うらら,みお うらら,5月14日,兵庫県西宮市,県立西宮甲山高校,161㎝,うらん,娘役,雪組,2005年,
紫城 るい,しじょう るい,8月23日,愛知県名古屋市,名東高校,167㎝,コバ、るい,男役→娘役,月組→宙組,2007年,
湖泉 きらら,こいずみ きらら,11月16日,東京都新宿区,川村学園,157㎝,あさみ、きらら,娘役,月組,2000年,
愛音 羽麗,あいね はれい,5月24日,大阪府豊中市,府立少路高校,168㎝,みわっち,男役,花組,2012年,
拓 麻早希,たくま さき,11月16日,大阪市,大阪信愛女学院中学,167㎝,みさこ,男役→娘役,星組,2002年,
朝菜 いるみ,あさな いるみ,6月10日,愛知県刈谷市,名古屋短期大学付属高校,162㎝,いるみ,娘役,宙組,2003年,
涼葉 らんの,すずは らんの,4月14日,兵庫県宝塚市,梅花学園高校,162㎝,らんの,娘役,花組,2006年,
天羽 珠紀,あもう たまき,2月16日,兵庫県宝塚市,武庫川学院,167㎝,たまき,男役,宙組,2011年,
夏 芽凛,なつめ りん,5月2日,京都市,ノートルダム女学院高校,168㎝,りん、なお,男役,月組,2004年,
花綺 ゆいな,はなき ゆいな,10月4日,大阪府豊中市,宣真高校,160㎝,ゆいな,娘役,花組,2005年,
琴 まりえ,こと まりえ,11月14日,兵庫県神戸市,神戸野田高校,160㎝,こと,娘役,星組,2010年,
陽 色萌,ひいろ もえ,8月4日,埼玉県東松山市,東邦音楽大学附属第二高校,162㎝,やっか,娘役,星組,2003年,
悠未 ひろ,ゆうみ ひろ,11月5日,東京都文京区,十文字学園,175㎝,とも,男役,宙組,2013年,
祐穂 さとる,ゆうほ さとる,7月26日,埼玉県浦和市,東京家政大学附属高校,168㎝,さとる,男役,星組,2008年,
眞宮 由妃,まみや ゆき,11月20日,東京都町田市,都立町田高校,160㎝,たまご,娘役,月組,2001年,
水野 ちはる,みずの ちはる,9月30日,東京都町田市,湘南白百合学園高校,160㎝,みか,娘役,星組,2000年,
宝珠 小夏,ほうじゅ こなつ,8月28日,東京都世田谷区,東京女学館,160㎝,こなつ,娘役,雪組,2001年,
白河 るり,しらかわ るり,7月6日,神奈川県海老名市,トキワ松学園,160㎝,えりさ,娘役,宙組,2005年,
聖 れい,ひじり れい,6月25日,東京都羽村市,都立立川高校,171㎝,しだまき、ひじり,男役,雪組,2005年,
牧勢 海,まきせ かい,2月24日,大阪市,大阪帝塚山学院,168㎝,かい、ゆきP,男役,雪組,2003年,
宝生 ルミ,ほうじょう るみ,7月3日,神奈川県横浜市,清泉女学院,158㎝,いづみ,娘役,月組,2007年,母は牧里いづみ
水月 舞,みづき まい,1月6日,東京都,堀越高校,163㎝,まさ,娘役,宙組→花組,2005年,
夏 大海,なつ ひろみ,7月20日,神奈川県横浜市,北鎌倉女子学園高校,169㎝,ちえ,男役,宙組,2008年,
玲 有希,れい ゆうき,4月12日,兵庫県宝塚市,百合学院高校,168㎝,のむ、ありさ,男役,雪組,2002年,
月城 美咲,つきしろ みさき,3月5日,宮崎市,宮崎女子高校,158㎝,はるか,娘役,宙組,2006年,
千 咲毬愛,ちさき まりあ,10月18日,長崎市,純心女子高校,157㎝,まりあ,娘役,雪組,2002年,
珠洲 春希,すず はるき,2月21日,福井市,県立羽水高校,168㎝,こっしー、すず,男役,宙組,2011年,
彩音 瑛花,あやね えいか,10月9日,大阪市旭区,聖母女学院高校,162㎝,まおり,娘役,月組,1999年,
貴水 りょう,たかみ りょう,2月28日,東京都世田谷区,田園調布雙葉高校,172㎝,れいな,男役,花組,1999年,
紫 万新,しま あらた,10月5日,奈良県,県立生駒高校,168㎝,がっきー、あらた,男役,花組,2006年,
葉音 りの,はおと りの,4月20日,兵庫県神戸市,県立御影高校,158㎝,りの,娘役,星組,2004年,
風 雅湊,ふうが みなと,1月18日,大阪府河内長野市,府立長野高校,167㎝,うっちゃん、そのこ,男役,月組,2007年,
真汐 薪,ましお しん,9月5日,東京都台東区,不二聖心女子学院,170㎝,ましお、みと,男役,星組,2005年,
美舟 星河,みふね せいか,1月24日,神奈川県横浜市,東京女学館,169㎝,ばばやん,男役,星組,2000年,
安城 志紀,あんじょう しき,11月4日,京都府綾部市,福知山淑徳高校,167㎝,しき,男役,雪組,2005年,
蓮城 ルナ,れんじょう るな,10月26日,東京都港区,淑徳学園高校,168㎝,サラサ,男役,花組,2000年,
萌希 彩人,もえき あやと,12月7日,東京都,昭和女子大学附属昭和高校,170㎝,あやと,男役,月組,2006年,
巽 希和,たつみ きわ,5月22日,広島県深安郡,県立大門高校,171㎝,たつみ,男役,宙組,2004年,
