芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
碧音斗和,あおね とわ,9月19日,兵庫県西宮市,神戸松蔭中学,169㎝,あおね,男役,星組,,
真白悠希,ましろ ゆうき,8月15日,東京都三鷹市,杉並学院高校,169㎝,ぴーころ、まーしー,男役,宙組,,
真弘蓮,まひろ れん,9月19日,北海道苫小牧市,苫小牧東高校,168㎝,オラフ、ろーれん,男役,月組,,
千早真央,ちはや まお,5月26日,千葉県千葉市,県立千葉東高校,161㎝,ようこ,娘役,雪組,,姉は水音志保
きよら羽龍,きよら はりゅう,9月8日,東京都練馬区,お茶の水女子大学附属中学,161㎝,おはね,娘役,月組,,
蒼波黎也,あおは れいや,10月23日,神奈川県横浜市,県立神奈川総合高校,175㎝,りー、りーたん,男役,雪組,,妹は和波煌
都姫ここ,みやひめ ここ,2月17日,岡山県岡山市,山陽女子高校,161㎝,ことか、こつか,娘役,花組,,
美海そら,みうみ そら,6月29日,福岡県福岡市,福岡西陵高校,162㎝,みうみん、そらてぃ,娘役,月組,,
愛陽みち,まなひ みち,1月14日,神奈川県逗子市,清泉女学院,162㎝,みち,娘役,雪組,,
珀斗星来,はくと せいら,11月24日,北海道札幌市,札幌日本大学高校,167㎝,かっちょ、はくと,男役,花組,,姉は白雪さち花
朝木陽彩,あさぎ ひいろ,5月6日,兵庫県尼崎市,県立尼崎北高校,165㎝,すずこ,娘役,宙組,,
咲彩いちご,さあや いちご,3月5日,兵庫県宝塚市,百合学院高校,162㎝,なー、なぎ,娘役,月組,,母は舞希彩
天城れいん,あましろ れいん,10月20日,長野県長野市,市立犀陵中学,171㎝,とやとや,男役,花組,,
嵐之真,あらしの しん,7月25日,大阪府大阪市,城星学園高校,176㎝,やまゆ,男役,宙組,,母は鷹悠貴
綾音美蘭,あやね みらん,1月21日,大阪府交野市,大阪聖母女学院高校,161㎝,まりなん、みらん,娘役,星組,,
愛蘭みこ,あいら みこ,10月7日,愛知県名古屋市,金城学院中学,161㎝,おたけ、さやね,娘役,花組,,
梓唯央,あずさ いお,5月30日,長野県長野市,信州大学教育学部附属長野中学,169㎝,まっすー,男役,宙組,,
絢斗しおん,あやと しおん,11月9日,福岡県福岡市,西南学院中学,168㎝,うっつー,男役,雪組,,
青騎司,あおき つかさ,3月10日,東京都練馬区,八雲学園高校,173㎝,リリー、リリーたん,男役,花組,,
楓姫るる,ふうき るる,3月12日,埼玉県上尾市,県立上尾高校,161㎝,ふうき、るる,娘役,宙組,,双子の妹は静音ほたる
世晴あさ,せはる あさ,10月15日,東京都世田谷区,田園調布雙葉高校,178㎝,あさ,男役,星組,,妹は朱涼
御剣海,みつるぎ かい,6月9日,神奈川県横浜市,県立相模原中等教育学校,171㎝,まもる,男役,星組,,
麻丘乃愛,まおか のあ,9月13日,埼玉県戸田市,日本大学豊山女子高校,162㎝,まおか,娘役,星組,,
麻花すわん,あさはな すわん,11月23日,東京都中野区,東京大学教育学部附属中等教育学校,162㎝,あこ,娘役,雪組,,
一羽萌瑠,いちはね める,6月25日,東京都港区,区立赤坂中学,167㎝,あなん、める,男役,月組,2021年,
夏凪せいあ,なつなぎ せいあ,7月18日,大阪府大阪狭山市,市立狭山中学,170㎝,せーあ,男役,月組,2021年,
菜乃葉みと,なのは みと,10月25日,滋賀県大津市,滋賀短期大学附属高校,162㎝,ゆきんこ、おまめ,娘役,雪組,,母は雪乃まり絵
風雅奏,ふうが かなで,2月6日,群馬県太田市,県立太田女子高校,170㎝,かめ,男役,雪組,,
美里玲菜,みさと れいな,12月30日,兵庫県川西市,梅花高校,163㎝,みさこ,娘役,花組,,姉は綺咲愛里
舞こころ,まい こころ,6月13日,愛知県名古屋市,名古屋女子大学高校,163㎝,りこりん,娘役,宙組,,
美羽愛,みはね あい,7月12日,大阪府豊中市,市立第十七中学,163㎝,あわわ,娘役,花組,,
月乃だい亜,つきの だいあ,5月7日,兵庫県西宮市,武庫川女子大学附属高校,173㎝,るー、だいあ,男役,月組,,
凛央捺はる,りおな はる,4月8日,福岡県糸島市,筑紫女学園高校,170㎝,がく、りおな,男役,星組,,
陽彩風華,ひいろ ふうか,10月25日,兵庫県西宮市,県立宝塚北高校,172㎝,まいこす、ヒイロ,男役,宙組,,
透綺らいあ,とうき らいあ,12月30日,神奈川県横浜市,聖セシリア女子高校,169㎝,じょーじょー、ひらじょー,男役,星組,,
光莉あん,ひかり あん,3月3日,奈良県生駒市,同志社女子高校,161㎝,ならまゆ、まゆっち,娘役,星組,,
和奏樹,わかな たつき,11月5日,大阪府大阪市,帝塚山学院中学,172㎝,きゃれん,男役,雪組,,
愛彩めあり,まないろ めあり,6月18日,東京都新宿区,八雲学園高校,162㎝,めあり,娘役,宙組,2019年,
礼哉りおん,れいや りおん,7月27日,東京都三鷹市,明星学園中学,171㎝,りっちゃん、りおん,男役,花組,2022年,
椿ここ,つばき ここ,2月13日,兵庫県神戸市,神戸松蔭高校,161㎝,椿、りょーたん,娘役,月組,2019年,
