芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
大凪真生,おおなぎ まお,7月20日,兵庫県西宮市,県立鳴尾高校,174㎝,しゅうちゃん,男役,雪組,2011年,
七風宇海,ななかぜ うみ,8月3日,神奈川県鎌倉市,県立藤沢西高校,167.5㎝,かまちゃん、うみ,男役,星組,2007年,
夢華あやり,ゆめか あやり,10月7日,東京都板橋区,東邦高校,160㎝,ぴぃこ,娘役,雪組,2006年,
羽咲まな,はざき まな,10月24日,大阪府南河内郡,相愛高校,160㎝,まな,娘役,月組,2011年,
花ののみ,はな ののみ,2月16日,宮崎県宮崎市,宮崎女子高校,160㎝,のの,娘役,星組,2008年,
祐澄しゅん,ゆうずみ しゅん,5月24日,群馬県佐波郡,常盤高校,171.5㎝,しゅん,男役,花組,2011年,
光月るう,こうづき るう,7月25日,埼玉県熊谷市,文京女子大学高校,167㎝,るう,男役,月組,,
春風弥里,はるかぜ みさと,10月31日,愛知県東海市,愛知県立東海南高校,173㎝,みさと,男役,宙組→花組,2013年,
華耀きらり,かよう きらり,7月22日,東京都大田区,順心女子学園高校,161㎝,ゆっけ、きらりん、きらり,娘役,花組,2015年,
朝夏まなと,あさか まなと,9月15日,佐賀県佐賀市,佐賀大学文化教育学部附属中学,172㎝,まなと,男役,花組→宙組,2017年,
扇めぐむ,おうぎ めぐむ,11月4日,東京都練馬区,区立豊玉中学,173㎝,とみごろう、とみい,男役,花組,2012年,
桜乃彩音,さくらの あやね,7月11日,岡山県津山市,県立津山高校,163㎝,あやね,娘役,花組,2010年,
早花まこ,さはな まこ,1月19日,東京都大田区,田園調布雙葉高校,158㎝,きゃびい、さぱな,娘役,雪組,2020年,
花露すみか,はなつゆ すみか,10月12日,兵庫県芦屋市,夙川学院高校,160㎝,れな、どうもりん,娘役,宙組,2012年,
麻華りんか,あさはな りんか,4月9日,福岡県大野城市,福岡雙葉高校,163㎝,はる,娘役,月組,2008年,
愛純もえり,あいずみ もえり,5月28日,東京都世田谷区,富士見丘中学,162㎝,あずぴょん、でんでん,娘役,花組,2010年,
夏月都,かげつ みやこ,6月7日,神奈川県厚木市,市立厚木中学,160㎝,なつ、イクちゃん,娘役,月組,,
水輝涼,みずき りょう,6月24日,京都府京都市,聖母学院高校,172㎝,じゅんな,男役,星組,2010年,
紫いつみ,むらさき いつみ,5月26日,兵庫県宝塚市,夙川学院中学,164㎝,ちも,娘役,雪組,2006年,
葉室ちあ理,はむろ ちあり,3月3日,東京都目黒区,東洋英和女学院高等部,161㎝,ちあり,娘役,宙組,2007年,
月央和沙,つきお かずさ,5月21日,埼玉県さいたま市,栄東高校,171㎝,よっち、かずさ,男役,花組,2014年,
紫友みれい,しゆう みれい,5月23日,大阪府池田市,雲雀丘学園,170㎝,おふじ,男役,雪組,2010年,
華苑みゆう,はなその みゆう,11月29日,東京都港区,実践女子学園,159㎝,みゆう,娘役,星組,2010年,
蓮水ゆうや,はすみ ゆうや,4月6日,神奈川県横浜市,多摩大学目黒高校,174㎝,ちーちゃん、ちひろ,男役,宙組,2014年,
真央あきと,まおう あきと,2月8日,神奈川県鎌倉市,市立深沢中学,169.5㎝,ありか,男役,宙組,2007年,
葵吹雪,あおい ふぶき,1月6日,愛知県名古屋市,市立名東高校,167㎝,あーたん,男役,雪組,2009年,
祐輝千寿,ゆうき せんじゅ,7月8日,東京都八王子市,鶴川高校,168㎝,ぐっちょん、せんじゅ,男役,雪組,2010年,
綾音らいら,あやね らいら,12月24日,大阪府岸和田市,東大谷高校,164㎝,らいら、くーちゃん、くみこ,娘役,宙組,2011年,
彩央寿音,あやお じゅね,4月27日,大阪府豊中市,豊中市立第四中学,169㎝,きっしー,男役,月組,2011年,
聖花まい,せいか まい,6月11日,東京都世田谷区,田園調布雙葉中学,160㎝,せーちゃん、せいまい,娘役,花組,2009年,
麻尋しゅん,まひろ しゅん,10月1日,富山県富山市,奥田中学,169㎝,まひろ,男役,星組,2009年,双子の妹は夢羽美友と夢花らん
花影アリス,はなかげ ありす,7月12日,大阪府大東市,追手門学院大手前中学,161㎝,アリス、こやぎ,娘役,宙組,2010年,
大湖せしる,だいご せしる,3月8日,兵庫県川西市,聖母被昇天学院高校,167㎝,せしる,男役→娘役,雪組,2016年,
鳳翔大,ほうしょう だい,1月6日,兵庫県西宮市,市立深津中学,175㎝,だい,男役,宙組→雪組,2017年,
真麻ひとみ,まあさ ひとみ,11月8日,東京都板橋区,聖心女子学院高等科,163㎝,あさみ、あっち,娘役,雪組,2006年,
妃咲せあら,ひさき せあら,2月1日,兵庫県三田市,園田学園,161㎝,せあら、トモデコ,娘役,星組,2011年,
鼓英夏,つづみ えいか,5月19日,千葉県松戸市,普蓮土学園高校,168.5㎝,モギー,男役,月組,2010年,
千はふり,せん はふり,10月7日,岡山県岡山市,清心女子高校,161㎝,ゆりこ、はふり、クメイシ,娘役,雪組,2008年,
夕霧らい,ゆうぎり らい,6月27日,愛知県津山市,愛知淑徳高校,172㎝,だぁちゃん、らっしー,男役,花組,2017年,
華央あみり,かお あみり,11月24日,広島県因島市,清心女子高校,170㎝,あちょう、あみり,男役,月組,2013年,
彩夏涼,さいか りょう,8月14日,福岡県久留米市,久留米信愛女学院高校,170㎝,さとちゃん、りょう,男役,雪組,2010年,
雫花ちな,しずか ちな,8月27日,兵庫県赤穂市,賢明女子学院中学,161㎝,ちな、ちゃき,娘役,花組,2008年,
紗蘭えりか,さらん えりか,4月19日,宮城県,白石女子高校,161㎝,みょー、にゃんちゅ,娘役,月組,2010年,
麻音颯斗,あさね さつと,11月28日,神奈川県横浜市,目黒星美学園高校,170㎝,かっしー,男役,宙組,2008年,
