芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
暁 千星,あかつき ちせい,9月14日,広島県福山市,福山暁の星女子中学,172㎝,ありんこ,男役,月組→星組,,
小春乃 さよ,こはるの さよ,5月1日,滋賀県草津市,県立草津高校,163㎝,さよ、おさよ、こはる,娘役,宙組,,
天華 えま,あまはな えま,8月28日,滋賀県近江八幡市,近江兄弟社高校,171㎝,ぴー、ぴーすけ,男役,星組,,
真條 まから,しんじょう まから,9月16日,熊本県山鹿市,熊本信愛女学院高校,169㎝,ゆいたん、まきゃら,男役,雪組,2016年,
瑠 風輝,るかぜ ひかる,1月26日,東京都調布市,佼成学園女子高校,174.5㎝,もえこ,男役,宙組,,
綾 凰華,あや おうか,1月5日,兵庫県宝塚市,県立宝塚高校,170㎝,あやな,男役,星組→雪組,2022年,
澪 乃桜季,みおの さき,1月11日,千葉県船橋市,私立江戸川女子高校,159㎝,SAKI、みお,娘役,星組,,
遥羽 らら,はるは らら,5月31日,愛知県名古屋市,市立守山中学,164㎝,まお,娘役,宙組,2021年,
潤奈 すばる,じゅんな すばる,2月12日,神奈川県川崎市,私立和光高校,170㎝,りりちゃん,男役,宙組,2018年,
飛龍 つかさ,ひりゅう つかさ,10月11日,東京都江東区,麹町学園女子高校,171㎝,まいか,男役,花組,,
真 彩希帆,まあや きほ,7月7日,埼玉県蕨市,関東国際高校,164㎝,きほ、なつこ、なっちゃん,娘役,花組→星組→雪組,2021年,
星南 のぞみ,せいな のぞみ,9月4日,滋賀県大津市,同志社女子高校,162㎝,りぃちゃん,娘役,雪組,2021年,
美都 くらら,みと くらら,9月24日,兵庫県神戸市,市立本山南中学,162㎝,ミトちゃん,娘役,星組,2016年,
紫乃 小雪,ゆかりの こゆき,9月8日,大阪府大阪市,帝塚山学院高校,160㎝,ゆきちぃ,娘役,月組,2017年,
彩波 けいと,あやなみ けいと,2月5日,神奈川県川崎市,下北沢成徳高校,173㎝,みい,男役,雪組,2017年,
穂稀 せり,ほまれ せり,12月12日,東京都品川区,日本音楽高校,167㎝,ほまれ,男役,宙組,2022年,
湊 璃飛,みなと りひ,11月14日,香川県高松市,市立牟礼中学,169㎝,きみ、りひ,男役,星組,2021年,
峰果 とわ,みねか とわ,5月28日,東京都港区,聖心女子学院高等科,171㎝,とわ,男役,花組,,
有 沙瞳,ありさ ひとみ,8月4日,三重県鈴鹿市,鈴鹿高校,161㎝,MIHO、ひとみ、くらっち,娘役,雪組→星組,,
麗泉 里,うらら せんり,1月12日,長野県東御市,市立東部中学,162㎝,せんり,娘役,月組,,
夢 乃花舞,ゆめのか まい,11月24日,兵庫県宝塚市,梅花高校,164㎝,まい、マイミー,娘役,雪組,2018年,
七輝 かおる,ななき かおる,2月8日,神奈川県横浜市,横浜富士見丘学園,170㎝,かみーゆ,男役,花組,2016年,
鳳華 はるな,ほうか はるな,11月6日,群馬県高崎市,県立前橋清陵高校,168㎝,MINO、ハル,男役,雪組,2019年,
風 輝駿,かざき しゅん,1月25日,東京都江東区,山脇学園高校,170㎝,ミキティ,男役,宙組,2019年,母は美浜寿里
天希 ほまれ,あまき ほまれ,12月23日,東京都墨田区,白百合学園高校,168㎝,りさこ、むらり,男役,星組,,
蒼真 せれん,そうま せれん,8月14日,神奈川県藤沢市,湘南台高校,172㎝,うっちー,男役,月組,2021年,
華雪 りら,はなゆき りら,10月14日,大阪府池田市,府立池田北高校,159㎝,ERI,娘役,宙組→星組,,
叶海 世奈,かなみ せな,4月20日,兵庫県姫路市,賢明女子学院中学,169.5㎝,せな、Akari,男役,雪組,2018年,
清 華蘭,きよか らん,1月15日,東京都目黒区,かえつ有明高校,162㎝,あちゃ,娘役,月組,,
周旺 真広,すおう まひろ,8月5日,愛知県北名古屋市,市立西春中学,170㎝,かなみ、かなみん,男役,月組,2020年,
紫咲樹 れの,しざき れの,8月23日,神奈川県横浜市,県立元石川高校,168㎝,れの、ちょふ、さかみん,男役,月組,2017年,
夕渚 りょう,ゆうなぎ りょう,2月19日,東京都中央区,立教女学院高校,171㎝,しも,男役,星組,,
瀬南海 はや,せなみ はや,10月29日,群馬県前橋市,共愛学園高校,171㎝,さわきち、せなみ,男役,雪組,2016年,
音風 せいや,おとかぜ せいや,12月7日,東京都品川区,女子美術大学付属高校,167㎝,おと、せいや,男役,月組,2019年,
桜花 りな,おうか りな,10月17日,千葉県我孫子市,県立松戸高校,165㎝,オカリナ、つる,娘役,花組,2017年,
美丘 安里,みおか あんり,6月4日,大阪府豊能郡,百合学院高校,163㎝,しょうこ,娘役,星組,2017年,
茉玲 さや那,まれい さやな,4月25日,東京都大田区,聖ヨゼフ学園高校,162㎝,Mayu、たまごちゃん、ニョッキ,娘役,花組,2019年,妹は凰海るの
妃月 ゆめ,ひづき ゆめ,3月5日,兵庫県神戸市,神戸山手女子高校,162㎝,まき、YUME,娘役,花組,2015年,
尚央海 りせ,なおみ りせ,1月14日,埼玉県川口市,慶應義塾女子高校,171㎝,しょーこ,男役,宙組,2015年,
澄月 菜音,すみづき なおと,10月9日,沖縄県浦添市,興南高校,169㎝,たも,男役,花組,2021年,
