芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
愛華みれ,あいか みれ,11月29日,鹿児島県肝属郡南大隅町,南大隅高等学校,華やかに、愛されるように,タモ,男役,2001年,
暁なぎさ,あかつき なぎさ,9月7日,東京都千代田区,四谷雙葉学園,本名より祖父が命名,あこ,娘役,1996年,
朝霧舞,あさぎり まい,5月8日,兵庫県神戸市,桜ノ宮中学校,,きょろちゃんきよちゃんまいみほ,娘役,1994年,
鮎ゆうき,あゆ ゆうき,2月21日,東京都江戸川区,和洋女子大学附属国府台女子高等学校,自分で考案,みきこ,男役,1991年,後に娘役に転向
いらか万椰,いらか まや,10月13日,東京都新宿区,白百合学園高等学校,,マリおまり,男役,1997年,
絵奈かおる,えな かおる,2月7日,福岡県福岡市早良区,九州女子高等学校,家族で考案,えなよしこ,娘役,1989年,
恵美若葉,えみ わかば,10月21日,東京都世田谷区,昭和高等学校,,りょうこ,娘役,1996年,後に春乃若葉に改名
大潮ますみ,おおしお ますみ,1月13日,大阪府吹田市,梅花中学校,潮満ちたりて澄みわたるの意味,はまちゃん,男役,1989年,
荻代彩乃,おぎしろ あやの,11月18日,大阪府大阪市旭区,相愛学園,尊師が命名,ともよ,娘役,1990年,
光樹すばる　,こうき すばる,5月19日,東京都杉並区,藤村女子高等学校,,うーちゃんすばる,男役,2005年,
香坂千晶,こうさか ちあき,9月16日,愛知県名古屋市,椙山女学園,家族で考案,なつこなっちゃん,娘役,1991年,
こじか真衣,こじか まい,6月13日,京都府京都市左京区,ノートルダム女学院高等学校,自分で考案,ひろこちゃん,娘役,1998年,
三枝みづき,さえぐさ みづき,6月11日,東京都大田区,東京都立南高等学校,多田神社で命名して貰う,みづ,男役,1993年,
鷺草かおる,さぎくさ かおる,9月5日,兵庫県神戸市北区,夙川学院,尊師が命名,ワコchan,娘役,1998年,
沢ひとみ,さわ ひとみ,2月16日,福島県二本松市,福島女子高等学校,尊師が命名,すずみしじみ,娘役,1998年,
潮路小夜,しおじ さよ,11月21日,福井県福井市,仁愛女子高等学校,家族で考案,さよ,娘役,1991年,
詩織みき,しおり みき,3月6日,大阪府茨木市,武庫川高等学校,家族で考案,かしわかっしー,男役,1990年,
篠原ゆい,しのはら ゆい,7月8日,大阪府大阪市南区,大阪府立清水谷高等学校,自分で考案,ゆい,娘役,1988年,
菫乃あいか,すみれの あいか,2月9日,神奈川県横浜市港北区,鶴見女子高等学校,家族で考案,みほ,娘役,1989年,後にすみれのあいかに改名
聖花桜子,せいか さくらこ,5月20日,兵庫県西宮市,兵庫県立西宮高等学校,桜内義雄が命名,みさこみさちゃん,娘役,1989年,
貴柳みどり,たかやぎ みどり,8月7日,兵庫県川西市,川西明峰高等学校,小柳日鶴が命名,ポッポ,娘役,2005年,
多彩しゅん,たさい しゅん,9月8日,兵庫県宝塚市,神戸山手学園,,やすこやっくん,男役,1999年,
橘沙恵,たちばな さえ,11月28日,大阪府豊中市,梅花学園高等学校,本名,さえさえこ,男役,1993年,
珠木奈緒,たまき なお,10月13日,東京都杉並区,明星学園高等学校,知人が命名,かなカータン,男役,1991年,
地矢晃,ちや あきら,10月9日,大阪府豊中市,梅花学園高等学校,,ちや,男役,1999年,
蝶まいか,ちょう まいか,8月3日,大阪府豊中市,梅花高等学校,恩師が命名,つくねなおよ,娘役,1987年,
轟悠,とどろき ゆう,8月11日,熊本県人吉市,人吉市立第一中学校,,トムいしちゃん,男役,2021年,
朋舞花,とも まいか,12月29日,京都府向日市,向日市立勝山中学校,家族で考案,ちよ,娘役,2001年,
登羽歩,とわ あゆみ,2月9日,大阪府八尾市,八尾東高等学校,自分で考案,マーチンマーコ,男役,1992年,
夏河ゆら,なつかわ ゆら,12月26日,兵庫県西宮市,甲陵中学校,,ゆら,娘役,2006年,
浪路はるか,なみじ はるか,8月10日,東京都目黒区,日本音楽高等学校,尊師が命名,あけみちゃん,娘役,1987年,
南紀ちひろ,なんき ちひろ,11月18日,和歌山県東牟婁郡,那智中学校,家族で考案,なんき,娘役,1993年,
能舞三子,のうぶ みつこ,4月7日,愛媛県松山市,松山東高等学校,本名より尊師が命名,みっちゃん,娘役,1988年,
萩尾仁美,はぎお ひとみ,3月31日,大阪府大阪市東住吉区,明浄学院高等学校,家族で考案,あけみ,娘役,1991年,
白馬麗,はくば れい,6月1日,長野県長野市,長野市立若穂中学校,出身地・白馬連峰,どりちゃん,男役,1990年,
華陽子,はな ようこ,7月9日,兵庫県芦屋市,神戸海星女子学院高等学校,太陽のように明るく華やかに,よーこchan,娘役,1993年,
馮裕華,ひょう ゆうか,3月15日,群馬県沼田市,沼田女子高等学校,本名,ひょう,男役,1991年,後に娘役に転向
穂高つゆき,ほたか つゆき,9月11日,大阪府大阪市西区,相愛学園中学校,恩師が命名,カメちほちゃん,男役,1989年,
真琴つばさ,まこと つばさ,11月25日,東京都品川区,実践女子学園高等学校,自分で考案,まみ,男役,2001年,
真中ひかる,まなか ひかる,12月7日,大阪府豊中市,大阪府立箕面高等学校,,なばちゃん,男役,2001年,
毬央みつき,まりお みつき,12月10日,宮城県仙台市,仙台白百合学園高等学校,,マリオけいちゃん,男役,1990年,
