芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
白綺 華,しらき はな,6月6日,東京都港区,東洋英和女学院高等部,162㎝,ハナ、あみたん,娘役,雪組,,
七彩 はづき,なないろ はづき,7月1日,兵庫県宝塚市,市立山手台中学,162㎝,さーや、もんちゃん,娘役,花組,,
碧羽 陽,あおはね よう,9月17日,山形県山形市,東海大学山形高校,165㎝,ハル,娘役,星組,,
瑞季 せれな,みずき せれな,10月1日,宮城県仙台市,仙台白百合学園高校,164㎝,あず、セレーナ,娘役,雪組,,
澪花 えりさ,みおか えりさ,5月20日,神奈川県横浜市,横浜女学院高校,163㎝,ちゃこ、ちぃ、えりさ,娘役,月組,,
静乃 めぐみ,しずの めぐみ,8月5日,愛知県名古屋市,聖霊高校,162㎝,さっちー、お静,娘役,花組,,
一輝 翔琉,いちき かける,12月17日,東京都世田谷区,都立狛江高校,171㎝,わか、かける,男役,月組,,
絢月 晴斗,あやづき はると,12月17日,埼玉県秩父市,県立秩父高校,170㎝,ねね,男役,雪組,,
和波 煌,かずは こう,12月5日,神奈川県横浜市,横浜創英高校,170㎝,なっちゅ,男役,星組,,姉は蒼波黎也
美玲 ひな,みれい ひな,11月21日,福岡県福岡市,西南学院高校,161㎝,れーれ、ぴなこ,娘役,星組,,
希蘭 るね,きらん るね,9月19日,東京都千代田区,雙葉中学,168㎝,らめ,男役,花組,,
風 翔夕,かざと ゆう,8月4日,東京都渋谷区,青山学院高等部,171㎝,ゆう、ゆうちん、すずか,男役,宙組,,
華羽 りみ,はなはね りみ,4月23日,大阪府豊中市,立命館中学,163㎝,りっちゃん,娘役,月組,,
風立 にき,かぜたち にき,1月8日,大阪府豊中市,梅花高校,169㎝,ひめな,男役,雪組,,
結沙 かのん,ゆいさ かのん,4月11日,東京都大田区,東洋英和女学院高等部,161㎝,ノンノン、ノン,娘役,宙組,,
天つ風 朱李,あまつかぜ しゅり,11月1日,京都府京都市,市立日吉ヶ丘高校,169㎝,あまつかぜ、シュリンプ、しゅり,男役,月組,,
咲良 さき,さくら さき,10月13日,東京都杉並区,八雲学園高校,164㎝,ちゃくら、サキ,娘役,花組,,
奈央 麗斗,なお れいと,11月30日,兵庫県宝塚市,県立宝塚北高校,170㎝,れいと,男役,宙組,,
華乃 みゆ,はなの みゆ,6月27日,神奈川県横浜市,成城学園高校,164㎝,みゆ、ミサキ,娘役,宙組,,
美颯 りひと,みはや りひと,2月5日,福岡県久留米市,福岡女学院中学,169㎝,りひと、つぼ,男役,月組,,
世奈 未蘭,せな みらん,5月13日,東京都荒川区,立教女学院高校,170㎝,ありー,男役,星組,,姉は紗蘭令愛
澄 乃紬,すみの つむぎ,6月26日,東京都西東京市,都立保谷高校,164㎝,むぎ、れんれん,娘役,宙組,,
桃 李拍,とうり はく,1月7日,東京都杉並区,都立総合芸術高校,173㎝,もも、とーり、はく,男役,星組,,
詩花 すず,うたはな すず,2月24日,千葉県千葉市,玉川聖学院高等部,158㎝,ゆいゆい、すず、べる,娘役,星組,,従姉は美園さくら
愛梛 ちとせ,あいな ちとせ,5月3日,東京都千代田区,雙葉高校,164㎝,みちき、ちとせ,娘役,月組,,
瞳月 りく,とうづき りく,2月2日,東京都江戸川区,都立晴海総合高校,169㎝,アカリ、あかりん、りく,男役,雪組,,
瀬七波 いろ,せなは いろ,8月16日,北海道小樽市,北海道小樽潮陵高校,172㎝,オタル、ふうな、うに,男役,花組,,
常和 紅葉,ときわ くれは,9月9日,東京都渋谷区,八雲学園高校,164㎝,みんちゃん、くれ,娘役,花組,,祖母は紅園ゆりか
妃 奈環,ひめな たまき,5月18日,神奈川県横浜市,聖セシリア女子高校,158㎝,たまちゃん、しおりん,娘役,雪組,,
結花 のの,ゆいか のの,9月3日,三重県四日市市,津田学園中学,165㎝,のの,娘役,宙組,,
朝 雪薫,あさゆき かおる,3月28日,茨城県日立市,茨城高校,163㎝,まめ,娘役,月組,,
藍羽 ひより,あいは ひより,3月23日,愛知県名古屋市,名古屋女子大学高校,160㎝,アイ、ぴよ、あいあい,娘役,星組,,
乙瀬 千晴,おとせ ちはる,5月19日,岡山県倉敷市,山陽女子高校,170㎝,つぁん、かめくん,男役,雪組,,
小乃美 ゆき,このみ ゆき,5月3日,福島県いわき市,東日本国際大学附属昌平高校,163㎝,こゆき、ちこ,娘役,雪組,,
相星 旬,あいほし しゅん,7月25日,愛知県日進市,県立名古屋西高校,172㎝,ほっしー、たーな、たな,男役,月組,,
朱 涼,あかね りょう,5月8日,東京都世田谷区,田園調布雙葉高校,174㎝,すず,男役,宙組,,姉は世晴あさ
織 史青,おりふみ あお,5月1日,千葉県浦安市,國學院高校,170㎝,あおたん、スマイル,男役,宙組,,
華波 侑希,かなみ ゆうき,10月18日,大阪府東大阪市,四天王寺高校,172㎝,カナミ,男役,花組,,
雛乃 にこ,ひなの にこ,3月10日,東京都世田谷区,桐朋女子高校,163㎝,ちゃな、うだだ,娘役,――,2021年,初舞台を休演、復帰しないまま退団
