芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
愛風 ひかる,あいかぜ ひかる,6月16日,埼玉県狭山市,東京女学館高等学校,家族で考案,ケイコちゃん,娘役,1988年,日本舞踊・花柳瀧蝶
曙 真八,あけぼの まや,2月21日,大阪府豊中市,宣真高等学校,父が命名,タケしんぱち,男役,1988年,
麻丘 奈里,あさおか なり,10月4日,兵庫県川西市,宣真高等学校,家族で考案,やぶちゃんなり,娘役,1992年,
麻木 瑞穂,あさぎ みずほ,10月4日,東京都杉並区,東京文化学園,家族で考案,みーちゃん,娘役,1985年,
麻路 さき,あさじ さき,5月27日,神奈川県相模原市,相模原市立上鶴間中学校,好きな字を入れて自分で考案,さきまりこ,男役,1998年,妹は麻園みき
朝露 あかり,あさつゆ あかり,4月10日,京都府京都市西京区,ノートルダム女学院高等学校,尊師が命名,ヒーちゃんヒロヨ,娘役,1987年,琴・生田流奥許
東 三智,あずま みち,1月27日,東京都台東区,東横学園,両親と考案,TOMOE,男役,1990年,
麻生 由美,あそう ゆみ,11月8日,大阪府,愛泉高等学校,家族で考案,ゆうちゃんゆかちゃん,娘役,1990年,
天地 ひかり,あまち ひかり,2月16日,京都府京都市,聖母学院高等学校,尊師が命名,イトコ,男役,1995年,母は高倉葵/退団後、梅田芸術劇場プロデューサーとして活躍
出雲 綾,いずも あや,7月8日,兵庫県宝塚市,兵庫県立宝塚高等学校,名取名,たき,娘役,2008年,母は白菊八千代日本舞踊・山村若智綾
一城 茜,いちじょう あかね,11月5日,東京都新宿区,宝塚第一中学校,尊師が命名,チタカチタちゃん,男役,1989年,
卯月 佳,うづき けい,4月14日,大阪府堺市,大谷学園,家族で考案,かこ,男役,1992年,
海峡 ひろき,かいきょう ひろき,6月14日,埼玉県狭山市,埼玉県立松山女子高等学校,尊師が命名,ミユ,男役,1997年,
花鏡 あすか,かきょう あすか,12月11日,大阪府豊中市,梅花学園,家族で考案,くり,男役,1986年,
香奈 ちこと,かな ちこと,9月20日,大阪府吹田市,宝塚東高等学校,尊師が命名,ヨーコちゃん,男役,1987年,
果林 いずみ,かりん いずみ,9月18日,兵庫県神戸市兵庫区,芦屋女子高等学校,尊師が命名,かりんかおり,娘役,1989年,
神奈 美帆,かんな みほ,1月30日,大阪府吹田市,北千里高等学校,,やっちゃん,娘役,1988年,
久世 星佳,くぜ せいか,7月8日,東京都大田区,東京女学館,誕生日の暦が盛夏にあたる為本名より家族で考案,のんちゃん,男役,1997年,
黒川 深雪,くろかわ みゆき,4月20日,千葉県市川市,大妻高等学校,,えみ,男役,1991年,退団後、梅田芸術劇場プロデューサーとして活躍
醐代 かつら,ごだい かつら,8月24日,高知県高知市,高知西高等学校,地名,マリンまり,男役,1990年,
沢木 満里,さわき まり,6月25日,東京都江戸川区,東京都立水元高等学校,父が考案,へっど,男役,1985年,
紫峯 さぎり,しほう さぎり,8月1日,東京都調布市,昭和高等学校,尊師が命名,よしこ,男役,1986年,日本舞踊・藤間勘紫楊
白鷺 まどか,しらさぎ まどか,4月19日,大阪府箕面市,箕面市立第一中学校,本名より家族で考案,まどか,娘役,1993年,姉は芹まちか
白原 可愛,しらはら かあい,8月8日,埼玉県狭山市,東京目白学園,大国神社に命名して貰う,かあいキャンディー,娘役,1986年,
鷹月 笙,たかつき しょう,9月22日,千葉県千葉市,和洋女子大学附属国府台女子高等学校,両親と考案,のりちゃんのりこ,男役,1993年,
高嶺 ふぶき,たかね ふぶき,12月4日,京都府京都市伏見区,藤森中学校,尊師が命名,ユキ,男役,1997年,義妹は汐美真帆
滝 はるか,たき はるか,6月5日,大阪府高槻市,大阪府立三島高等学校,知人が命名,がき,男役,1990年,
檀 ひとみ,だん ひとみ,10月4日,東京都大田区,香蘭女子高等学校,尊師と父が命名,ダンちゃん,娘役,1988年,
千 秋慎,ちあき しん,12月25日,東京都新宿区,東京都立明正高等学校,父親の名前,みっきちあき,男役,1998年,
筑紫野 あや,つくしの あや,2月19日,福岡県福岡市中央区,中村学園女子高等学校,尊師が命名,きょーちゃんきょうこ,娘役,1989年,娘は彩月つくし
英 りお,はなぶさ りお,6月8日,東京都千代田区,東京都立三田高等学校,尊師が命名,オコ,男役,1992年,絵麻緒ゆうの兄と退団後に結婚
聖 真澄,ひじり ますみ,4月22日,東京都杉並区,永福高等学校,家族で考案,マスミ,娘役,1987年,
瞳 まりあ,ひとみ まりあ,11月3日,鹿児島県鹿児島市,鹿児島純心女子高等学校,家族で考案,きぬよ,娘役,1989年,退団後に「マリアミュージカルアカデミー」を設立
姫 まりか,ひめ まりか,3月18日,熊本県熊本市,熊本信愛女学院,姫由美子に貰う,ひめみえこ,娘役,1988年,
黛 れいな,まゆずみ れいな,8月5日,京都府京都市東山区,京都女子高等学校,恩師が命名,スケさんスケピョウ,男役,1991年,
真弓 しずか,まゆみ しずか,5月4日,大阪府堺市,帝塚山学院,大地真央が命名,シズカしーか,娘役,1987年,
美樹 さやか,みき さやか,12月26日,千葉県千葉市,千葉女子高等学校,本名より知人が命名,みきちゃん,男役,1989年,
瑞木 淳,みずき じゅん,10月4日,東京都杉並区,Hawai School for girls,千波淳が命名,ユッコ,男役,1987年,
美月 亜優,みつき あゆ,5月29日,大阪府豊中市,大阪府立渋谷高等学校,知人が命名,ゆかりゆかし,娘役,1997年,
翠 章江,みどり あきえ,9月25日,大阪府高槻市,三島高等学校,尊敬する人が命名,オクあきえちゃん,娘役,1989年,
美輪 さいこ,みわ さいこ,10月9日,東京都大田区,大田区立第三中学校,本名より考案,ヤサイサッコ,男役,1988年,父は山下洵一郎
友麻 夏希,ゆうま なつき,7月15日,兵庫県宝塚市,長尾中学校,自分で考案,ゆうまみか,男役,1990年,
若央 りさ,わかお りさ,9月10日,神奈川県茅ヶ崎市,聖園女学院,家族で考案,みつえ,男役,1995年,宝塚歌劇団振付家宝塚音楽学校モダンダンス教師助手日本舞踊・花柳禄春浦
若菜 あん,わかな あん,10月20日,大阪府羽曳野市,明浄学院高等学校,『赤毛のアン』より父と考案,エンちゃん,娘役,1993年,
