芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
彩葉 ゆめ,いろは ゆめ,9月20日,山口県山口市,山口大学教育学部附属山口中学,162㎝,いろは、ゆめみっち,娘役,,,
真羽 利綺,まはね りき,7月7日,東京都西東京市,都立総合芸術高校,172㎝,すずな、リッキー,男役,,,
星名 りおん,せいな りおん,12月31日,岡山県岡山市,市立竜操中学,169㎝,せいな、りおん、ゆり,男役,,,
陽悠 はれ,ひゆう はれ,3月3日,奈良県大和高田市,県立郡山高校,169㎝,みはな、はれ,男役,,,
桃羽 ひらり,ももは ひらり,12月30日,東京都世田谷区,国立音楽大学附属高校,161㎝,ひらり、ひよ,娘役,,,
一斗 勇輝,いちと ゆうき,11月17日,兵庫県三木市,市立緑が丘中学,169㎝,あまたん,男役,,,
薫乃 咲月,かおるの さつき,5月2日,東京都中央区,雙葉中学,162㎝,かおるこ、かおこ、かおるの、るー,娘役,,,
陽稀 はる,ひまれ はる,3月10日,大阪府大阪市,アサンプション国際高校,161㎝,はるひ、はるひめ,娘役,,,
星 美音,ほし みおん,5月9日,大阪府枚方市,京都女子高校,163㎝,みおん,娘役,,,
華愛 りりい,かわい りりい,12月2日,東京都世田谷区,女子美術大学付属高校,163㎝,きょうこ、りーり,娘役,,,
夏 音葉,なつ おとは,7月11日,東京都文京区,日本女子大学附属高校,163㎝,みーこ、りりこ,娘役,,,
祈宮 えれな,きみや えれな,11月7日,東京都世田谷区,田園調布雙葉高校,163㎝,エレナ、えーちゃん、Ellie,娘役,,,
優花 りら,ゆうか りら,2月2日,東京都江戸川区,関東国際高校,158㎝,あゆ、ユーカリ,娘役,,,
悠久 颯,ゆうきゅう はやて,11月9日,兵庫県宝塚市,関西学院高等部,169.5㎝,うー、ゆうり,男役,,,
青星 すみと,あおせ すみと,2月9日,三重県桑名市,津田学園高校,169㎝,くーちゃん、みっくん,男役,,,
也乃 英心,やの えいしん,6月20日,千葉県習志野市,品川学藝高校,165㎝,えーしん,男役,,,
凛 航瑠,りん わたる,10月11日,兵庫県尼崎市,小林聖心女子学院高校,170㎝,りんりん、りん、わたる,男役,,,
朝路 みつき,あさじ みつき,9月26日,東京都世田谷区,桐光学園高校,173㎝,ちむ,男役,,,
海月 優,みつき ゆう,3月31日,大阪府豊中市,梅花高校,169㎝,むーみん、ちらみん,男役,,,
希瀬 旭,きせ あさひ,8月28日,福岡県福岡市,県立香住丘高校,175㎝,ミキティ,男役,,,
七香 美海,ななか みう,3月2日,東京都江東区,東洋英和女学院高等部,163㎝,ななみ、みう,娘役,,,
柚月 翔,ゆづき しょう,10月30日,石川県金沢市,北陸学院中学,169㎝,にわてぃす、にわ,男役,,,
光 桜紀,ひかる おうき,8月6日,北海道札幌市,北星学園女子中学高校,169㎝,さく,男役,,,
新 琉,あらた りゅう,8月26日,東京都中央区,学習院女子中等科,170㎝,ほな、りゅう,男役,,,
志槻 りゅう,しづき りゅう,3月28日,北海道札幌市,札幌大谷高校,172㎝,れんか、ぶっちー,男役,,,
伊吹 すがた,いぶき すがた,12月22日,東京都大田区,日本音楽高校,169㎝,こうき,男役,,,
杏 麗奈,あん れいな,5月18日,大阪府大阪市,帝塚山高校,162㎝,あん,娘役,,,
鏡花 くらら,きょうか くらら,1月24日,神奈川県横浜市,下北沢成徳高校,163㎝,きょうちゃん、ボーちゃん,娘役,,,
純 れい,じゅん れい,1月26日,東京都北区,順天中学,178㎝,ぬくぬく,男役,,,
宙翔 かなた,そらと かなた,6月28日,東京都新宿区,吉祥女子高校,170㎝,りさ、かなた、イトリ,男役,,,
千聖 侑,ちさと ゆう,7月21日,東京都品川区,山脇学園高校,169㎝,DOMI、ぶん太、ふみか,男役,,,
麗月 るな,れいげつ るな,2月10日,兵庫県芦屋市,同志社女子高校,164㎝,あゆ、いとゆ、るな,娘役,,,
琴音 悠希,ことね ゆうき,9月10日,兵庫県西宮市,梅花高校,171㎝,ゆず、ゆずきち、ことね,男役,,,
史真 えみり,しま えみり,11月18日,兵庫県尼崎市,松陰高校,160㎝,しま,娘役,,,
亜輝 かずは,あき かずは,6月3日,大阪府河内長野市,市立東中学,172㎝,あき、わーこ,男役,,,
百詠 心春,もえ こはる,7月3日,和歌山県和歌山市,県立和歌山商業高校,162㎝,もえぴ,娘役,,,
楓真 優,ふうま ゆう,3月16日,大阪府池田市,梅花高校,172㎝,綿棒、モケケ,男役,,,
あゆう 壬都,あゆう みと,7月13日,愛知県日進市,南山高校女子部,169㎝,なかっちゃん、かちゅ,男役,,,
清花 アリス,きよはな ありす,3月9日,神奈川県藤沢市,聖セシリア女子高校,157㎝,さや,娘役,,,
