芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
留依 蒔世,るい まきせ,6月23日,兵庫県尼崎市,市立塚口中学,172㎝,あーちゃん、まきせ,男役,宙組,,
華鳥 礼良,かとり れいら,10月17日,熊本県宇城市,熊本信愛女学院,164㎝,ほっしー,娘役,星組,2019年,
城妃 美伶,しろき みれい,6月12日,東京都杉並区,雙葉中学,162㎝,YUKI、こゆき,娘役,星組→花組,2019年,
矢吹 世奈,やぶき せな,5月9日,兵庫県西宮市,市立山口中学,169㎝,まさ,男役,花組,2018年,
海乃 美月,うみの みつき,5月18日,富山県氷見市,市立北部中学,163㎝,えり、うみ,娘役,月組,,
永久輝 せあ,とわき せあ,8月8日,東京都世田谷区,白百合学園高校,170㎝,ひとこ,男役,雪組→花組,,
彩月 つくし,さいづき つくし,8月6日,福岡県福岡市,市立平尾中学,162㎝,あや、つくし,娘役,雪組,2016年,母は筑紫野あや
蓮 つかさ,れん つかさ,10月25日,宮城県大崎市,宮城県古川高校,171㎝,この、このちゃん,男役,月組,,
夢 なつき,ゆめ なつき,12月2日,ニューヨーク州ニューヨーク市,ラガーディアハイスクール,162㎝,メーガン,娘役,宙組,2013年,
蒼瀬 侑季,あおせ ゆうき,4月12日,大阪府茨木市,樟蔭高校,169㎝,なつみ,男役,月組,2017年,
沙羅 アンナ,さら あんな,9月1日,大阪府大阪市,帝塚山学院高校,162㎝,のっち、アン,娘役,雪組,,
ひめ乃 礼絵,ひめの れえ,5月6日,東京都渋谷区,慶應義塾女子高校,160㎝,れえ,娘役,月組,2014年,
貴遠 すず,たかとお すず,7月4日,佐賀県佐賀市,私立佐賀龍谷高校,159㎝,にっしー,娘役,星組,2013年,
綺城 ひか理,あやき ひかり,7月14日,千葉県千葉市,市立朝日ヶ丘中学,175㎝,あかちゃん,男役,花組→星組,,
秋奈 るい,あきな るい,2月9日,大阪府箕面市,百合学院高校,169㎝,なっつ,男役,宙組,,
春妃 うらら,はるひ うらら,2月15日,福岡県福岡市,県立城南高校,161㎝,ゆかり,娘役,花組,,姉は星乃あんり
佳城 葵,かしろ あおい,4月27日,岡山県岡山市,就実高校,169㎝,やす,男役,月組,,
朝霧 真,あさぎり まこと,6月17日,大阪府堺市,市立三原台中学,175㎝,まこと,男役,月組,,
雛 リリカ,ひな りりか,3月3日,千葉県松戸市,東京学館浦安高校,163㎝,さんちゃん,娘役,花組,2022年,
夢人 麻未,ゆめと あさみ,10月14日,熊本県熊本市,私立尚絅高校,169㎝,まいちー,男役,――,2012年,組配属前に退団
水香 依千,みずか いち,10月19日,静岡県静岡市,県立静岡城北高校,174㎝,なべなべ、ニッキー,男役,宙組,2022年,
凰羽 みらい,おうは みらい,11月27日,東京都羽村市,私立大東学園高校,172㎝,れいか,男役,星組,2016年,
紅羽 真希,くれは まき,10月20日,福岡県福岡市,筑紫女学園高校,171㎝,まいこつ,男役,花組,,
花菱 りず,はなびし りず,5月15日,東京都世田谷区,雙葉高校,163㎝,かりん,娘役,宙組,,
叶 ゆうり,かのう ゆうり,12月10日,東京都中央区,東洋英和女学院高等部,173㎝,あき,男役,雪組,,
桃堂 純,とうどう じゅん,2月9日,東京都渋谷区,アオバ・ジャパン・インターナショナルスクール,175㎝,ももこ、たお,男役,星組,2021年,母はマッハ文朱
水月 牧,みなづき まき,11月12日,埼玉県大里郡,私立本庄東高校,171㎝,まるちゃん、ふー太,男役,雪組,2015年,
朝日 奈蒼,あさひな あおい,6月19日,福井県今立郡,仁愛女子高校,168㎝,AOI,男役,宙組,2018年,
澤 佳津伎,さわ かづき,10月15日,東京都中央区,私立広尾学園高校,172㎝,かづき、さわ,男役,星組,2012年,
姫咲 美礼,ひめさき みれい,7月13日,東京都町田市,恵泉女学園中学,159㎝,あちゃこ,娘役,月組,2022年,
彩葉 玲央,いろは れお,8月11日,愛知県日進市,金城学院高校,171㎝,あや,男役,星組,2021年,
碧宮 るか,あおみや るか,5月13日,兵庫県西宮市,市立苦楽園中学,168㎝,るか,男役,花組,2019年,
水沙 瑠流,みずさ るる,8月20日,大阪府大阪市,市立汎愛高校,167㎝,るる,男役→娘役,雪組,2016年,
舞矢 聖華,まいや せいか,7月16日,兵庫県宝塚市,市立宝塚中学,162㎝,まりー,娘役,――,2011年,組回り中に休演、そのまま退団
