芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
百千 糸,ももち いと,11月29日,埼玉県草加市,上野学園,158㎝,J子、いと,娘役,宙組,2012年,
真瀬 はるか,まなせ はるか,1月11日,神奈川県横浜市,清泉女学院高校,168㎝,イマッチ、まなせ,男役,花組,2012年,
美春 あやか,みはる あやか,5月21日,東京都荒川区,大妻高校,163㎝,まりまり、こっつん、アヤカ,娘役,星組,2009年,
蘭乃 はな,らんの はな,5月20日,東京都杉並区,成城学園高校,163㎝,らん,娘役,月組→花組,2014年,双子の妹はすみれ乃麗
鞠花 ゆめ,まりか ゆめ,6月16日,埼玉県熊谷市,県立熊谷女子高校,159㎝,ゆめ,娘役,花組,2022年,
透水 さらさ,とうみ さらさ,6月23日,京都府京都市,私立京都大谷高校,164㎝,ゆきえ,娘役,雪組,2015年,
松風 輝,まつかぜ あきら,12月25日,兵庫県宝塚市,県立宝塚北高校,167㎝,まっぷー,男役,宙組,,
煌月 爽矢,あきづき さや,1月25日,東京都世田谷区,玉川聖学院,169㎝,ゆうき,男役,月組,2016年,
千海 華蘭,ちなみ からん,7月25日,大阪府大阪市,市立天満中学,167㎝,ゆか、ちなみ,男役,月組,,
天輝 トニカ,あまき とにか,9月19日,大阪府大阪市,大阪帝塚山学院高校,168㎝,まおり、Tonica,男役,宙組,2011年,妹は煌海ルイセ・美蘭レンナ
すみれ乃 麗,すみれの れい,5月20日,東京都杉並区,成城学園高校,161㎝,れーれ,娘役,宙組,2014年,双子の姉は蘭乃はな
天真 みちる,てんま みちる,11月18日,神奈川県厚木市,県立厚木東高校,169㎝,梅タソ（うめたそ）,男役,花組,2018年,
妃白 ゆあ,ひしろ ゆあ,4月16日,滋賀県,能登川中学,160㎝,ゆあ,娘役,星組,2016年,
初花 美咲,はつはな みさき,9月28日,埼玉県さいたま市,国立音楽大学附属高校,161㎝,かなこ,娘役,花組,2011年,
真風 涼帆,まかぜ すずほ,7月18日,熊本県菊池郡,熊本県立大津高校,176㎝,ゆりか、すずほ,男役,星組→宙組,,
凛城 きら,りんじょう きら,1月8日,東京都八王子市,明星学苑中学,170㎝,れーか,男役,雪組→宙組→専科,,
彩凪 翔,あやなぎ しょう,6月2日,大阪府大阪市,市立八阪中学,170㎝,しょう、あやか,男役,雪組,2021年,
瀬稀 ゆりと,せき ゆりと,1月25日,東京都目黒区,田園調布雙葉中学,170㎝,ゆったん、ゆりと,男役,星組,2019年,
笙乃 茅桜,しょうの ちお,10月22日,三重県伊勢市,伊勢女子高校,159㎝,ひーこ,娘役,雪組,2021年,
舞乃 ゆか,まいの ゆか,11月23日,兵庫県宝塚市,武庫川女子大学附属高校,160㎝,とっちー,娘役,月組,2011年,
貴澄 隼人,たかすみ はやと,3月29日,兵庫県神戸市,神戸松蔭高校,171㎝,はやと,男役,月組,2018年,
天咲 千華,あまさき ちはな,6月5日,東京都墨田区,女子聖学院高校,167㎝,ぞの,男役→娘役,宙組→花組,2011年,
日高 大地,ひだか だいち,11月18日,埼玉県川口市,東京家政大学附属女子高校,173㎝,よかも、ようくん,男役,花組,2013年,
月映 樹茉,つきえ じゅま,11月23日,東京都世田谷区,青山学院高等部,170㎝,えな、じゅま,男役,宙組,2012年,
夢莉 みこ,ゆめり みこ,5月29日,大阪府高石市,神戸松蔭高校,162㎝,ともか、みこ,娘役,宙組,2013年,
鳳月 杏,ほうづき あん,6月20日,千葉県船橋市,国府台女子学院中学部,172㎝,ちなつ,男役,月組→花組→月組,,
桃花 ひな,ももはな ひな,8月23日,大阪府池田市,梅花学園高校,160㎝,ももか,娘役,雪組,2017年,
真那 春人,まな はると,2月3日,千葉県白井市,千葉県立柏陵高校,169㎝,みっくん、まなはる,男役,雪組,,
大澄 れい,おおすみ れい,8月2日,滋賀県守山市,京都女子高校,168㎝,ザッキー,男役,雪組,2014年,
銀華 水,ぎんか すい,2月19日,大阪府高槻市,関西大倉高校,168㎝,ぎん、すい,男役,花組,2012年,
花城 舞,はなしろ まい,11月28日,奈良県香芝市,百合学院高校,158㎝,ちっち、めぐみ,娘役,雪組,2010年,
花織 千桜,はなおり ちさ,3月12日,大阪府吹田市,梅花学園,161㎝,うたこ、なごみ,娘役,花組,2010年,
紫月 音寧,しづき おとね,9月30日,高知県須崎市,私立土佐女子高校,162㎝,おとね,娘役,星組,2021年,
本城 くれは,ほんじょう くれは,9月12日,兵庫県姫路市,兵庫県播磨高校,175㎝,とーます、くれは,男役,星組,2010年,
風凛 水花,ふうり みずか,10月17日,東京都大田区,品川女子学院高等部,165㎝,ひでこ、おひで,娘役,月組,2015年,
真愛 涼歌,まあい すずか,7月28日,大阪府東大阪市,四条畷学園高校,161㎝,モカ、まあい、もあい,娘役,月組,2016年,
月野 姫花,つきの ひめか,6月9日,茨城県,潮来市立日の出中学校,162㎝,姫花,娘役,花組,2012年,
若夏 あやめ,わかなつ あやめ,1月11日,東京都台東区,国府台女子学院,158㎝,あやめ,娘役,星組,2014年,
輝咲 玲央,きざき れお,9月28日,福井県福井市,仁愛女子高校,173㎝,れお、えみり、まっきー,男役,星組,,
紗羽 優那,さはね ゆな,4月28日,山口県岩国市,山口県立岩国総合高校,162㎝,うえむりん、ゆな,娘役,宙組,2009年,
貴月 美礼,きづき みれい,5月4日,富山県富山市,文京区立茗台中学,158㎝,かほ,娘役,雪組,2008年,
安里 舞生,あんり まう,6月17日,大阪府羽曳野市,大阪府立東住吉高校,168㎝,まう,男役,宙組,2010年,
千紗 れいな,ちさ れいな,6月4日,京都府京都市,同志社高校,161㎝,いくまり、れーな、まりぼー,娘役,宙組,2010年,
愛那 結梨,あいな ゆうり,10月19日,熊本県熊本市,真和高校,159㎝,ゆうりん、えりねぇ,娘役,月組,2010年,
神房 佳希,かずさ よしき,1月4日,大阪府大阪市,府立茨木東高校,168㎝,もっちゃん、ポッチュン,男役,花組,2015年,
花輝 真帆,はなき まほ,7月3日,埼玉県上尾市,市立原市中学,161㎝,まほ、なおみん,娘役,花組,2011年,
剣崎 裕歌,けんざき ゆうか,9月7日,埼玉県東松山市,県立芸術総合高校,173㎝,うり,男役,雪組,2008年,
白百合 ひめ,しらゆり ひめ,3月18日,大阪府大阪市,大阪信愛女学院高校,162㎝,あずあず,娘役,星組,2010年,
