芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
煌海 ルイセ,きらみ るいせ,4月7日,大阪府大阪市,帝塚山学院高校,169㎝,サリィ、ルイセ,男役,月組,2017年,姉は天輝トニカ、妹は美蘭レンナ
大樹 りょう,だいき りょう,4月20日,東京都世田谷区,都立狛江高校,169㎝,れえな、だいき,男役,雪組,2013年,母は真樹りさ
杏野 このみ,あんの このみ,12月15日,大阪府高槻市,府立槻の木高校,164㎝,このみん,娘役,雪組,,
麻央 侑希,まお ゆうき,12月13日,神奈川県横浜市,成城学園高校,175㎝,ゆっこ、ゆきじ,男役,星組,2019年,
冴華 りおな,さえばな りおな,6月4日,東京都練馬区,学習院女子高等科,171㎝,りおな,男役,花組,2017年,
夢羽 美友,ゆめは みゆ,9月6日,富山県富山市,富山第一高等学校,162㎝,マユ、みゅう,娘役,月組,2016年,姉は麻尋しゅん、双子の妹は夢花らん
花咲 あいり,はなさき あいり,8月14日,東京都世田谷区,区立芦花中学,157㎝,NATSU、あいりぃ,娘役,宙組,2018年,
翔馬 樹音,しょうま じゅね,11月2日,大阪府堺市,大阪帝塚山学院,171㎝,ぽっぽ,男役,星組,2013年,
飛河 蘭,ひゅうが らん,12月1日,福島県須賀川市,県立須賀川桐陽高校,172㎝,ANDY,男役,星組,2015年,
朝陽 みらい,あさひ みらい,10月7日,大阪府吹田市,相愛高校,170㎝,まっこ,男役,花組,2011年,
夢花 らん,ゆめはな らん,9月6日,富山県富山市,小杉高校,161㎝,あや、ラン,娘役,花組,2015年,姉は麻尋しゅん、双子の姉は夢羽美友
春瀬 央季,はるせ おうき,7月1日,東京都練馬区,跡見学園高校,174㎝,カナコ,男役,宙組,2022年,
紗愛 せいら,さちか せいら,2月1日,神奈川県川崎市,東洋英和女学院高等部,162㎝,せいら,娘役,花組,2018年,
貴穂 しゅう,たかほ しゅう,2月22日,大阪府大阪市,四條畷学園高校,175㎝,みぃ、しゅうしゅう,男役,雪組,2009年,
紫乃加 りあ,しのか りあ,4月26日,大阪府大阪市,大阪桐蔭高校,163㎝,みちゃお、りあ,娘役,月組,2014年,
ひなたの 花梨,ひなたの かりん,1月10日,兵庫県神戸市,神戸海星女子学院高校,159㎝,ひなたん、りんこ,娘役,星組,2012年,
咲花 莉帆,さきはな りほ,3月31日,東京都港区,川村学園,160㎝,きょうこ,娘役,宙組,2013年,
芽華 らら,めいか らら,8月18日,大阪府茨木市,大阪薫英女学院高校,159㎝,らら、アッコ,娘役,雪組,2014年,
美泉 儷,みずみ れい,11月5日,岡山県岡山市,岡山県立大安寺高校,170㎝,てら、てーりん,男役,月組,2015年,
輝海 せいや,かがみ せいや,2月7日,東京都練馬区,女子聖学院高校,168㎝,せーや,男役,宙組,2010年,
