芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
仙名 彩世,せんな あやせ,12月3日,宮城県名取市,宮城第二女子高校,162㎝,ユキ、あやせ,娘役,花組,2019年,
愛風 ゆめ,あいかぜ ゆめ,6月16日,茨城県ひたちなか市,私立茨城中学,162㎝,ゆーちゃん、ゆーきゃん,娘役,月組,2013年,
漣 レイラ,さざなみ れいら,6月6日,東京都葛飾区,日本音楽高校,174㎝,きゃなえ、LAYLA,男役,星組,2021年,
和海 しょう,かずみ しょう,11月28日,福岡県福岡市,福岡女学院中学,168㎝,カズミ、しおり,男役,花組,,
天翔 りいら,あまと りいら,2月2日,大阪府堺市,向陽台高校,168㎝,やいか、あいか,男役,月組,2013年,
煌羽 レオ,きらは れお,1月11日,東京都狛江市,玉川学園高等部,167㎝,KARI,男役,雪組,2021年,
愛咲 まりあ,あいさき まりあ,12月24日,兵庫県神戸市,神戸海星女子学院高校,162㎝,まりあ、ちっぴー,娘役,宙組,2020年,
寿春 花果,すばる はなか,8月18日,愛知県小牧市,椙山女学園高校,164㎝,あだちゅう,娘役,雪組,2014年,
風馬 翔,ふうま かける,2月28日,京都府長岡京市,京都市立音楽高校,172㎝,ふー、かける,男役,宙組,2018年,
隼海 惺,はやみ せい,4月1日,東京都台東区,都立目黒高校,169㎝,ゆーみん、せい,男役,月組,2014年,
悠斗 イリヤ,ゆうと いりや,2月28日,福岡県福岡市,福岡女子高校,167㎝,じゅり,男役,雪組,2015年,
羽立 光来,はりゅう みつき,10月14日,香川県高松市,香川県立高松高校,178㎝,びっく、みつき,男役,花組,,
久城 あす,くじょう あす,6月27日,兵庫県芦屋市,甲南女子高校,167㎝,マイミー、まいにゃん,男役,雪組,,姉は藤咲えり
舞月 なぎさ,まいづき なぎさ,9月9日,大阪府池田市,梅花中学,171㎝,ふじもん,男役,花組,,
美月 悠,みつき はるか,6月19日,東京都千代田区,立教女学院高校,172㎝,みつき、ちゃお,男役,宙組,2021年,
新菜 かほ,にいな かほ,7月28日,京都府京田辺市,同志社香里高校,158㎝,あやこっぺ,娘役,花組,2018年,
香 咲蘭,こうさき らん,12月16日,大阪府大阪市,市立西高校,161㎝,こーさき、らんらん,娘役,月組,2021年,
珠城 りょう,たまき りょう,10月4日,愛知県蒲郡市,光ヶ丘女子高校,172㎝,りょう,男役,月組,2021年,
天舞音 さら,あまね さら,9月21日,京都府京田辺市,京都府立城陽高校,160㎝,さら、あっきぃ,娘役,雪組,2014年,
華雅 りりか,かが りりか,8月1日,東京都世田谷区,香蘭女学校,163㎝,りり,娘役,星組→花組,,
星月 梨旺,ほしづき りお,6月19日,千葉県柏市,千葉県立松戸六実高校,172㎝,りお、MISATO,男役,宙組,2021年,
毬愛 まゆ,まりな まゆ,9月29日,東京都杉並区,東京文化高校,163㎝,まゆこ、マリー,娘役,星組,2015年,母は賀美さつき
桜音 れい,さくらね れい,7月21日,東京都港区,中央大学付属高校,162㎝,ゆみ,娘役,宙組,2020年,姉は白渚すず
早乙女 わかば,さおとめ わかば,5月30日,兵庫県神戸市,県立宝塚北高校,162㎝,あじゃ、あじゃこ,娘役,星組→月組,2018年,
