芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
暁 るり子,あかつき るりこ,,,,,,,1929年,
秋 菊子,あき きくこ,,岡山県,山陽高等女学校,秋の庭に氣高く匂へと念じて命名,,,1928年,
浅茅 のぶ子,あさじ のぶこ,,,,,,,1929年,
天原 ふさ子,あまはら ふさこ,,,,,,,1927年,
有馬 そよ子,ありま そよこ,,,,,,,1927年,娘は二代目・有馬そよ子
淡路 島子,あわじ しまこ,,,,,,,1927年,
幾代 千歳,いくよ ちとせ,,,,,,,1926年,在団中に逝去
浮田 るい子,うきた るいこ,,,,,,,1925年,
榎木 浪路,えのき なみじ,,,,,,,1927年,
大江 美智子,おおえ みちこ,,大阪府大阪市北区,,,,娘役,1930年,花組主演娘役父は新派俳優・剣劇俳優
小倉 一子,おぐら かずこ,,,,,,男役,1931年,
尾上 高子,おのえ たかこ,,,,,,,1925年,
甲斐 珠子,かい たまこ,,,,,,,1927年,
鵲 しも子,かささぎ しもこ,,,,,,,1932年,
紅 千鶴,くれない ちづる,6月15日,大阪府大阪市西区,,同期生である暁るり子と相談した上で命名,,娘役,1933年,娘は千春京子孫は万理沙ひとみと秋園美緒
柵 愛子,しがらみ あいこ,,,,,,,1927年,
静 弘子,しず ひろこ,,,,,,,1926年,
霜野 長谷子,しもの はせこ,1月1日,京都府,,,ナーヤンもうちゃん,男役,1941年,
白藤 歌子,しらふじ うたこ,,,,,,,1930年,娘は二代目・白藤歌子点字図書館録音のボランティア活動を行う
白雪 朝子,しらゆき あさこ,,,,,,,1931年,
末野 松山,すえの まつやま,,,,,,,1932年,
菅 つや子,すが つやこ,7月11日,,,,,,1935年,
墨染 清子,すみぞめ きよこ,,,,,,,1929年,
瀬川 えみ子,せがわ えみこ,,,,,,,1928年,
園 つる子,その つるこ,,,,,,,1927年,
高尾 咲子,たかお さきこ,,,,,,,1928年,
高松 友子,たかまつ ともこ,3月26日,京都府,,,ミヤさん,娘役,1936年,後に岡眞砂（おか まさご）に変更
田子 宇羅子,たご うらこ,8月30日,兵庫県神戸市,,,セッちゃん,娘役,1945年,舞踊家・出口節子母は宝塚少女歌劇団ダンス講師の出口秀子
立川 糸子,たちかわ いとこ,,,,,,,1929年,
龍田 錦子,たつた きんこ,,,,,,,1929年,
千鳥 守,ちどり まもる,,,,,,,1927年,在団中に逝去
露野 まき子,つゆの まきこ,,,,,,,1930年,
錦 あや子,にしき あやこ,1月21日,兵庫県,,,オデコ,娘役,1938年,
花園 かね子,はなぞの かねこ,,,,,,,1927年,
速水 岩子,はやみ いわこ,7月15日,,,,,,1935年,
故郷 かほる,ふるさと かおる,,,,,,,1927年,
星 明子,ほし あきこ,,,,,,,1927年,
松藻 邦子,まつも くにこ,,,,,,,1928年,
松山 浪子,まつやま なみこ,10月23日,,,,,,1937年,
三浦 時子,みうら ときこ,3月20日,鳥取県,,,タッチン金時,両役,1941年,
三笠 文子,みかさ ふみこ,,,,,,,1930年,
三室 もみぢ,みむろ もみぢ,,,,,,,1928年,
美山 田鶴子,みやま たづこ,,,,,,,1932年,
三好 秋子,みよし あきこ,,,,,,,1927年,
八十島 舟子,やそじま ふなこ,,,,,,,1925年,
夜浪 豊子,やなみ とよこ,,,,,,,1926年,
弥生 蘭子,やよい らんこ,4月20日,,,,,,1935年,
若野 ため子,わかの ためこ,,,,,,,1927年,
