芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
花束 ゆめ,はなたば ゆめ,9月18日,東京都練馬区,東京学芸大学附属国際中等教育学校,160㎝,けいか,娘役,雪組,,
瑠璃 花夏,るり はなか,7月1日,京都府京都市,京都光華高校,160㎝,ちな、るりはな,娘役,星組,,
羽音 みか,はおん みか,11月28日,大阪府大阪市,梅花高校,166㎝,ミカコ、みー,娘役,月組,,姉は芹尚英
夢白 あや,ゆめしろ あや,8月27日,東京都杉並区,明星学園高校,163㎝,アヤカ、もってぃー,娘役,宙組→雪組,,
彩路 ゆりか,あやじ ゆりか,8月4日,大阪府豊中市,府立夕陽丘高校,171㎝,みわ,男役,月組,,
侑 蘭粋,ゆらん すい,5月14日,石川県金沢市,金沢大学附属高校,164㎝,ゆらん,娘役,星組,,
朝葉 ことの,あさのは ことの,10月3日,東京都目黒区,八雲学園高校,163㎝,こっちゃん、ことねえ,娘役,花組,,
星 咲希,ほしさき のぞみ,1月17日,岡山県倉敷市,県立倉敷古城池高校,161㎝,のぞみん,娘役,星組,,姉は希良々うみ
天咲 礼愛,あまさき れあ,2月13日,岡山県岡山市,就実高校,162㎝,れなれな,娘役,雪組,,姉は天愛るりあ
涼葉 まれ,りょうは まれ,10月15日,千葉県我孫子市,県立松戸高校,170㎝,まいまい、はまれ,男役,花組,,
大河 そあ,たいが そあ,11月23日,東京都杉並区,成蹊高校,172㎝,スズ、そあ,男役,雪組,2018年,
壮海 はるま,そうみ はるま,3月31日,秋田県秋田市,聖霊女子短期大学付属高校,174㎝,しま,男役,雪組,,
聖海 由侑,せいみ ゆう,2月12日,神奈川県川崎市,恵泉女学園中学,169㎝,せー、めぐみ,男役,雪組,,
愛羽 あやね,まなは あやね,10月18日,大阪府大阪市,武庫川女子大学附属高校,160㎝,あやねん,娘役,雪組,,
紘 希柚葉,ひろき ゆずは,4月19日,東京都大田区,日本女子大学附属高校,173㎝,ゆずは,男役,星組,,
希波 らいと,きなみ らいと,1月13日,神奈川県川崎市,日本大学中学,175㎝,らいと,男役,花組,,
詩希 すみれ,しき すみれ,10月17日,東京都調布市,東洋英和女学院高等部,161㎝,あきのん、のんたん,娘役,花組,,母は霧原翔子
碧咲 伊織,あおさき いおり,7月30日,愛知県春日井市,名古屋国際高校,168㎝,しら、いお,男役,宙組,2020年,
白河 りり,しらかわ りり,3月31日,大阪府東大阪市,関西大学北陽中学,163㎝,りんりん,娘役,月組,,
莉奈 くるみ,りな くるみ,3月18日,東京都新宿区,十文字高校,162㎝,くるみ、りなくる,娘役,雪組,,
栞菜 ひまり,かんな ひまり,6月2日,大阪府八尾市,大阪学芸高校,164㎝,かんな、ひま,娘役,宙組,,
羽玲 有華,はれい ゆか,2月15日,東京都小金井市,市立緑中学,172㎝,れみ、だれみ,男役,星組,,
音佳 りま,おとか りま,3月17日,兵庫県揖保郡,山陽女子中学,169㎝,りま,男役,星組,2019年,
彩 妃花,あやひ はな,7月4日,京都府京都市,ノートルダム女学院高校,165㎝,ハナ,娘役,宙組,,
海叶 あさひ,かいと あさひ,12月20日,神奈川県相模原市,麻布大学附属高校,172㎝,ひー、おぶ,男役,花組,,
有愛 きい,ありあ きい,4月22日,京都府京都市,ノートルダム女学院高校,164㎝,なみ、ありあ,娘役,宙組,,双子の妹は一禾あお
亜音 有星,あのん ゆうせい,2月14日,佐賀県佐賀市,市立大和中学,173㎝,ユキノ、ぴろ,男役,宙組,,姉は蒼舞咲歩
二葉 ゆゆ,ふたば ゆゆ,2月26日,兵庫県丹波市,市立青垣中学,162㎝,ゆゆ,娘役,花組,,
瑠皇 りあ,るおう りあ,10月1日,大阪府吹田市,梅花高校,169㎝,さっさ、ルオリア,男役,月組,,
瑛美花 れな,えみか れな,5月27日,東京都大田区,聖ドミニコ学園高校,164㎝,たるたる、えれ,娘役,星組,,
爽 悠季,そう ゆうき,4月27日,アメリカ合衆国ニューヨーク州,Paul D.Schreiber High School,172㎝,かっつー,男役,月組,,
琴美 くらら,ことみ くらら,6月3日,埼玉県新座市,県立芸術総合高校,163㎝,ことみく,娘役,花組,,
颯 美汐紗,はやみ しおさ,11月1日,大阪府大阪市,府立市岡高校,169㎝,やすは,男役,花組,,
紗蘭 令愛,さらん れいあ,12月22日,東京都荒川区,立教女学院高校,173.5㎝,さらん、れいあ,男役,雪組,,妹は世奈未蘭
ま のあ澪,まのあ みお,2月24日,兵庫県宝塚市,雲雀丘学園高校,162㎝,ケイティー,娘役,月組,,
なつ 颯都,なつ はやと,11月8日,埼玉県川口市,市立青木中学,175㎝,なっつん,男役,宙組,2020年,
あまの 輝耶,あまの かぐや,4月14日,大阪府大阪市,追手門学院大手前中学,164.5㎝,かぐや,娘役,月組,2021年,
毬矢 ソナタ,まりや そなた,11月10日,兵庫県神戸市,神戸龍谷高校,172㎝,きょんきょん,男役,月組,,
琉稀 みうさ,るき みうさ,2月24日,千葉県習志野市,昭和学院高校,172㎝,ミウ,男役,宙組,,
孔雅 といろ,こうが といろ,5月17日,東京都足立区,青森山田高校,173㎝,まっくす,男役,星組,2019年,
