芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
天寿 光希,てんじゅ みつき,9月10日,秋田県秋田市,聖霊女子短期大学附属高校,167㎝,ミッキー、かがっち,男役,星組,,
紫門 ゆりや,しもん ゆりや,12月28日,愛知県名古屋市,名東高校,171㎝,ゆりや,男役,月組→専科,,
野々 すみ花,のの すみか,2月27日,京都府,聖母学院高校,161㎝,すみか,娘役,花組→宙組,2012年,
愛加 あゆ,まなか あゆ,10月18日,富山県富山市,文京区立第七中学,161㎝,あゆっち,娘役,雪組,2014年,姉は夢咲ねね
藤咲 えり,ふじさき えり,3月20日,兵庫県芦屋市,甲南女子高校,160㎝,エリー,娘役,宙組,2012年,妹は久城あす
花里 まな,はなさと まな,3月18日,千葉県印旛郡,県立成田西陵高校,161㎝,あいこ,娘役,宙組,2015年,
優香 りこ,ゆうか りこ,2月5日,京都府京都市,東海大学附属仰星高校,164㎝,りこりこ,娘役,星組,2014年,
麗 百愛,うらら もえ,1月11日,大阪府大阪市,大阪帝塚山学院,164㎝,もえ、おく,娘役,月組,2009年,
白姫 あかり,しらき あかり,5月12日,大阪府大阪市,樟蔭中学,165㎝,あかり,娘役,花組,2019年,
此花 いの莉,このはな いのり,7月22日,神奈川県横浜市,大妻中野高校,163㎝,このみ,娘役,雪組,2015年,
大輝 真琴,おおき まこと,8月7日,兵庫県伊丹市,小林聖心女子学院中学,167㎝,まいお、まいける,男役,星組,,
白雪 さち花,しらゆき さちか,2月22日,北海道札幌市,札幌清田高校,163㎝,さちか、さっちん,娘役,月組,,妹は珀斗星来
貴 千碧,たかち あお,11月25日,大阪府大阪市,甲子園学院高校,168㎝,まん,男役,月組,2017年,
冴輝 ちはや,さえき ちはや,2月13日,福岡県福岡市,市立城香中学,167.5㎝,モーリー,男役,雪組,2009年,
稀鳥 まりや,きとり まりや,8月11日,東京都港区,聖心インターナショナル・スクール,157㎝,まりや、モナコ,娘役,星組,2012年,
天 玲美音,てんれい みおん,12月8日,静岡県浜松市,浜松学芸高校,169㎝,てんれい,男役,宙組,2016年,
澄輝 さやと,すみき さやと,11月24日,兵庫県神戸市,神戸松蔭高校,173㎝,あっきー,男役,宙組,2019年,
鳳 真由,おおとり まゆ,4月26日,東京都小平市,明星高校,168.5㎝,ふじぴー、まよまよ,男役,花組,2016年,
咲希 あかね,さき あかね,3月21日,東京都葛飾区,都立城東高校,161㎝,みほりん,娘役,月組,2017年,
綾瀬 あきな,あやせ あきな,11月16日,東京都武蔵野市,都立小金井北高校,158㎝,エビ、エビィ,娘役,宙組,2021年,
あうら 真輝,あうら まき,2月1日,石川県金沢市,北陸学院高校,170㎝,あうら、マキ,男役,花組,2006年,
花蝶 しほ,かちょう しほ,10月12日,愛知県名古屋市,市立汐路中学,160㎝,しほ,娘役,花組,2014年,
透真 かずき,とうま かずき,12月17日,東京都足立区,東京女学館高校,168㎝,りーしゃ,男役,雪組,,
笹良 える,ささら える,5月16日,大阪府吹田市,大阪成蹊女子高校,159㎝,いくこ、いく,娘役,宙組,2010年,双子の妹は希世みらの
舞花 くるみ,まいか くるみ,4月24日,沖縄県那覇市,興南高校,167㎝,くるみん,男役→娘役,宙組,2013年,
有瀬 そう,ありせ そう,10月3日,兵庫県西宮市,市立西宮高校,174㎝,さぶ、さぶこ,男役,月組,2016年,
花峰 千春,はなみね ちはる,9月27日,東京都板橋区,日本女子大学附属高校,168.5㎝,ムラ,男役,花組,2010年,
花 菜響子,かな きょうこ,5月13日,兵庫県宝塚市,県立宝塚北高校,162㎝,きょう,娘役,宙組,2007年,
