芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
鷹翔千空,たかと ちあき,5月18日,滋賀県草津市,県立東大津高校,175㎝,こってぃ,男役,宙組,,
天紫珠李,あまし じゅり,1月10日,東京都世田谷区,玉川聖学院,169㎝,まりこ、じゅりあん,男役→娘役,月組,,
愛乃一真,まの かずま,2月10日,神奈川県川崎市,戸板女子高校,172㎝,さな、かずま,男役,花組,,
縣千,あがた せん,2月10日,京都府宇治市,府立莵道高校,171㎝,ちさと,男役,雪組,,
碧海さりお,あおみ さりお,6月16日,石川県金沢市,星稜高校,169㎝,チャーリー、ちゃりお,男役,星組,,
夏葉ことり,なつは ことり,8月11日,埼玉県朝霞市,市立朝霞第三中学,162㎝,ちょぼ、みは,娘役,花組,2020年,
咲乃深音,さきの みおん,6月29日,兵庫県宝塚市,市立光ガ丘中学,164㎝,ゆーき、さきの,娘役,花組,,
芹尚英,せりな えい,7月11日,大阪府大阪市,相愛高校,170㎝,たっちゃん、たつてぃー、えい,男役,花組,,妹は羽音みか
颯香凜,さやか りん,12月18日,アメリカ合衆国ネバダ州,ラスベガスアカデミー,170㎝,さや、Christina,男役,星組,,
真名瀬みら,まなせ みら,8月2日,滋賀県大津市,同志社女子高校,173㎝,まな、どってぃ,男役,宙組,,
日和春磨,ひよりはるま,6月11日,千葉県松戸市,県立薬園台高校,170㎝,いずみこ,男役,雪組,,
夕陽真輝,ゆうひ まき,7月26日,大阪府吹田市,府立夕陽丘高校,172㎝,さかもち,男役,星組,,
結愛かれん,ゆい かれん,9月6日,愛知県名古屋市,聖霊中学,162㎝,ゆーゆ,娘役,月組,,
彩音星凪,あやおと せな,6月21日,北海道雨竜郡,沼田町立沼田中学,173㎝,かのん,男役,月組,,
凜香百音,りんか もね,10月5日,東京都目黒区,東京女学館高校,163㎝,ももか、もね,娘役,花組,2019年,
優美せりな,ゆみ せりな,2月3日,埼玉県朝霞市,目黒区立東山中学,164㎝,しまもん、しまちゃん,娘役,雪組,2019年,
礼華はる,れいか はる,10月8日,東京都文京区,日本女子大学附属高校,178㎝,みー、みやはる,男役,月組,,
惟吹優羽,いぶき ゆうは,2月11日,兵庫県加古川市,松蔭高校,170㎝,いぶき,男役,宙組,,
翼杏寿,つばさ あんじゅ,1月28日,東京都目黒区,女子美術大学付属高校,170㎝,あんじゅ,男役,花組,,
雪輝れんや,せつき れんや,6月8日,神奈川県海老名市,県立海老名高校,173㎝,よね、れんや,男役,宙組,,
琴羽りり,ことはね りり,7月28日,大阪府大阪市,帝塚山学院高校,161㎝,りい、ゆいか,娘役,雪組,,祖母は若住かほる
水音志保,みずね しほ,8月2日,千葉県千葉市,県立千葉東高校,162㎝,しほ,娘役,宙組,,妹は千早真央
花城さあや,はなしろ さあや,12月21日,兵庫県宝塚市,神戸松蔭高校,161㎝,さほ、おじゃ、さあや,娘役,宙組,,
花時舞香,はなとき まいか,9月14日,東京都文京区,川村学園高校,163㎝,しょこ、まいか,娘役,月組,,
美華もなみ,みか もなみ,8月21日,東京都中野区,女子美術大学附属高校,160㎝,みか、みかこ,娘役,雪組,2020年,
彩園ひな,あやぞの ひな,3月3日,宮崎県串間市,県立福島高校,165㎝,かとぴ,娘役,星組,,
麻斗海伶,あさと みれ,10月24日,石川県野々市市,星稜高校,175㎝,さえ,男役,雪組,,
朝澄希,あさずみ まれ,8月13日,神奈川県横浜市,清泉女学院高校,168㎝,まれ、あちゃー,男役,雪組,2021年,
涼香希南,りょうか きな,9月9日,兵庫県西宮市,仁川学院高校,171㎝,きな、りこ,男役,花組,,双子の妹は甲海夏帆
麻倉しずく,あさくら しずく,7月30日,岡山県倉敷市,山陽女子高校,165㎝,りな、しずく,娘役,星組,2021年,
甲海夏帆,こうみ なつほ,9月9日,兵庫県西宮市,市立西宮東高校,172㎝,こうみ、まり,男役,月組,,双子の姉は涼香希南
天翔さくら,あまかけ さくら,1月26日,大阪府大阪市,帝塚山高校,168㎝,さく、さくら,男役,星組,2019年,
龍季澪,たつき みお,1月14日,アメリカ合衆国テキサス州,ベルエア・ハイスクール,171㎝,みょーじょー,男役,花組,,
佳乃百合香,よしの ゆりか,11月18日,京都府京都市,京都聖母学院高校,163㎝,かな,娘役,月組,,
望月篤乃,もちづき あつの,7月15日,福岡県久留米市,久留米学園高校,170㎝,ぎょぎょ、さちこ,男役,雪組,2021年,
草薙稀月,くさなぎ きづき,4月25日,愛知県名古屋市,南山高校女子部,172㎝,ももか、なぎ,男役,星組,2021年,
星蘭ひとみ,せいら ひとみ,5月26日,東京都港区,学習院女子高等科,164㎝,ひとみん、まゆ,娘役,星組→専科,2020年,
鷺世燿,さぎせ よう,6月23日,大阪府大阪市,大阪聖母女学院高校,174㎝,さったん,男役,宙組,2018年,
青羽ひかり,あおば ひかり,3月23日,福岡県糟屋郡,福岡工業大学附属城東高校,175㎝,みそ、ひか,男役,――,2015年,初舞台を休演、復帰しないまま退団
湖々さくら,ここ さくら,7月16日,東京都新宿区,雙葉高校,162㎝,さくら,娘役,宙組,,
