芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
音彩唯,ねいろ ゆい,12月18日,兵庫県神戸市,神戸海星女子学院中学,162㎝,はばまい、ばぁ,娘役,雪組,,
夏希真斗,なつき まなと,10月29日,東京都府中市,東京大学教育学部附属中等教育学校,175㎝,あっしー,男役,花組,,
詩ちづる,うた ちづる,3月9日,北海道札幌市,藤女子高校,160㎝,ちづる,娘役,月組→星組,,
美空真瑠,みそら まる,11月29日,兵庫県西宮市,市立上ヶ原中学,168㎝,みそまる、そらまる,男役,花組,,
星空美咲,ほしぞら みさき,3月25日,神奈川県鎌倉市,横浜雙葉高校,164㎝,みゆう、みさき,娘役,花組,,
鳳花るりな,おうか るりな,7月10日,福岡県北九州市,九州国際大学付属高校,163㎝,るりな、かみやん,娘役,星組,,
琴峰紗あら,ことみね さあら,3月16日,兵庫県神戸市,神戸松蔭高校,160㎝,さあら、こあら,娘役,雪組,,
紀城ゆりや,きしろ ゆりや,7月8日,兵庫県西宮市,神戸松蔭高校,169㎝,のりぴー,男役,雪組,,姉は愛海ひかる
山吹ひばり,やまぶき ひばり,10月13日,愛知県江南市,県立明和高校,164㎝,ぶき、ブッキー,娘役,宙組,,
星影なな,ほしかげ なな,9月8日,東京都千代田区,都立総合芸術高校,161㎝,まりあんぬ,娘役,星組,,
稀惺かずと,きしょう かずと,5月22日,東京都港区,日本女子大学附属高校,169㎝,マウイ、ティミー,男役,星組,,高祖父は小林一三、父は松岡修造/。祖母は千波静
瞳きらり,ひとみ きらり,2月7日,東京都目黒区,学習院女子高等科,165㎝,きらり、たしゃ,娘役,星組,,
愛未サラ,あいみ さら,12月9日,東京都渋谷区,東京女学館中学,165㎝,さらぴー、さらりん,娘役,宙組,,
稀奈ゆい,まれな ゆい,6月7日,奈良県奈良市,県立高円高校,161㎝,おかもん、まれな,娘役,花組,,
初音夢,はつね ゆめ,3月25日,大阪府豊中市,関西学院中学部,158㎝,ゆうゆ,娘役,花組,,
美影くらら,みかげ くらら,5月2日,東京都世田谷区,聖ドミニコ学園高校,164㎝,すぅ,娘役,雪組,,
海咲圭,みさき けい,2月1日,京都府亀岡市,京都女子高校,169㎝,みっけ、あみんこ,男役,雪組,,
聖叶亜,ひじり とあ,5月27日,茨城県筑西市,県立下館第一高校,171㎝,りっと、かな,男役,宙組,,
静音ほたる,しずね ほたる,3月12日,埼玉県上尾市,県立与野高校,160㎝,あつき、ほたる,娘役,月組,,双子の姉は楓姫るる
七城雅,ななしろ みやび,4月1日,愛知県名古屋市,市立名東高校,171㎝,きど、みやび,男役,月組,,
湖華詩,こはな うた,11月12日,長野県佐久市,佐久長聖高校,160㎝,よしりん、ぽむ,娘役,花組,,
月瀬陽,つきせ よう,12月16日,兵庫県西宮市,松蔭高校,171㎝,もね、よう,男役,雪組,,
朝香ゆらら,あさか ゆらら,6月16日,愛知県名古屋市,椙山女学園高校,163㎝,ゆらら,娘役,月組,,
美星帆那,みせい はんな,10月8日,宮城県仙台市,仙台白百合学園中学,158㎝,ちっち、あべてぃー,娘役,宙組,,
大路りせ,おおじ りせ,11月13日,愛知県名古屋市,椙山女学園中学,171㎝,りぃ、りりぃ,男役,宙組,,
愛空みなみ,あいそら みなみ,10月6日,大阪府池田市,履正社学園豊中中学,163㎝,みみぃ、かのやん,娘役,雪組,,
彩夏こいき,あやか こいき,10月5日,東京都町田市,都立小川高校,162㎝,こいき、こいきっち,娘役,星組,,
奏羽美緒,かなは みお,7月24日,愛知県名古屋市,県立春日井南高校,164㎝,かなみん、かなみーる,娘役,月組,,
希翠那音,きすい なおと,8月12日,大阪府寝屋川市,梅花高校,167㎝,みなえ、きっすい,男役,雪組,,
遥稀れお,はるき れお,1月16日,京都府京都市,府立京都すばる高校,177㎝,れお、ゆいぴー,男役,月組,,
葵祐稀,あおい ゆうき,10月6日,神奈川県相模原市,玉川学園高等部,169㎝,ごん,男役,宙組,,
大希颯,たいき はやて,9月20日,東京都練馬区,区立開進第三中学,174㎝,はやて、あいみん,男役,星組,,
槙照斗,まき てると,8月26日,兵庫県伊丹市,梅花高校,174㎝,まきてる,男役,月組,,
彩紋ねお,さいもん ねお,9月14日,東京都江東区,東京家政大学附属女子高校,169㎝,さいもん、ねおん,男役,星組,,
伶愛輝みら,れあき みら,5月24日,大阪府寝屋川市,同志社香里中学,168㎝,おみや、レイナ,男役,花組,,
泉堂成,せんどう なる,10月19日,埼玉県久喜市,県立鷲宮高校,170㎝,なる,男役,宙組,,
花翔ひかり,はなと ひかり,11月29日,徳島県徳島市,徳島市立高校,167㎝,らいす,男役,花組,,
水城あおい,みずしろ あおい,1月11日,神奈川県横浜市,市立上郷中学,169㎝,あかね,男役,月組,,姉は聖乃あすか
青風希央,あおかぜ きお,5月13日,大阪府吹田市,梅花高校,174㎝,きお,男役,星組,,
明希翔せい,あきと せい,7月18日,滋賀県犬上郡,滋賀短大附属高校,171㎝,トミティー、トミカ,男役,宙組,,
