芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
蘭寿とむ,らんじゅ とむ,8月12日,兵庫県西宮市,武庫川学院,169㎝,まゆった,男役,花組→宙組→花組,2014年,
涼紫央,すずみ しお,3月9日,大阪市,四天王寺学園,168.5㎝,とよこ,男役,星組,2012年,
紺野まひる,こんの まひる,4月12日,大阪府豊中市,雲雀丘学園,160㎝,まひる,娘役,雪組,2002年,
西條三恵,さいじょう みえ,8月6日,兵庫県神戸市,愛徳学園,162㎝,みえ,娘役,月組,2001年,祖父は西条凡児
蒼海拓,あおみ たく,8月28日,長野市,県立長野吉田高校,170㎝,たく,男役,雪組,2002年,
七海さら,ななみ さら,11月16日,東京都大田区,都立杉並高校,161㎝,りえこ、ななみ,娘役,花組,1998年,
楠恵華,くすのき けいか,11月1日,東京都杉並区,都立富士高校,168㎝,のぞ,男役,月組,2006年,
毬乃ゆい,まりの ゆい,8月1日,兵庫県川西市,神戸松蔭女子学院,159㎝,マキ,娘役,星組,2015年,姉は悠なお輝
橘梨矢,たちばな りや,5月8日,西宮市,芦屋大学附属高校,167㎝,YORI、RIYA,男役,雪組→花組,2006年,母は橘香久子
斐貴きら,ひだか きら,12月12日,愛媛県八幡浜市,済美高校,161㎝,きら,娘役,星組,1997年,
遼河はるひ,りょうが はるひ,2月2日,愛知県名古屋市,椙山女学園高校,173㎝,りょうちゃん、りょうが,男役,月組→宙組→月組,2009年,
壮一帆,そう かずほ,8月7日,川西市,雲雀丘学園高校,170㎝,かずほ,男役,花組→雪組→花組→雪組,2014年,
涼乃かつき,すずの かつき,7月29日,鹿児島市,市立玉龍高校,162㎝,かつき,娘役,星組,2009年,
美風舞良,みかぜ まいら,10月11日,大阪府摂津市,府立吹田東高校,158㎝,まいら,娘役,花組→宙組→花組,,
姫こだま,ひめ こだま,4月3日,青森県十和田市,青森明の星高校（音楽科）,156.5㎝,チアキ、チャキ,娘役,月組→宙組,1998年,
芽夢ちさと,めむ ちさと,11月23日,奈良県,県立高円高校,164㎝,ちさと,娘役,月組,2004年,
水純花音,みすみ かのん,11月19日,大阪府吹田市,四天王寺学園,168㎝,みすみ、きんちゃん,男役,雪組,2006年,
沢樹くるみ,さわき くるみ,2月11日,川崎市麻生区,佼成学園女子高校,160㎝,しげまい、おじゃる,娘役,花組,2002年,
千早真永,ちはや まえ,2月26日,東京都新宿区,東京文化高校,167㎝,あやこ、まえ,男役,花組,1998年,
舞坂ゆき子,まいさか ゆきこ,11月10日,東京都目黒区,東洋英和女学院高等部,160㎝,まいこ、まいP,娘役,雪組,2002年,
彩風蘭,あやかぜ らん,5月13日,兵庫県伊丹市,芦屋大学附属高校,160㎝,らんちゃん,娘役,花組,2004年,
良基天音,たかき あまね,6月8日,兵庫県三原郡,県立三原高校,170㎝,あまね、かえこ,男役,月組,2009年,
研ルイス,けん るいす,1月8日,福岡市西区,文化女子大学附属杉並高校,169㎝,あべちゃん、ゆうが,男役,月組,2011年,
嶺恵斗,みね けいと,9月13日,京都市左京区,華頂女子高校,172㎝,けいと、たぐP,男役,星組,2005年,
華宮あいり,はなみや あいり,12月28日,沖縄県那覇市,県立那覇商業高校,168㎝,あいり,男役,雪組→宙組,2003年,
叶千佳,かのう ちか,3月29日,岡山県倉敷市,県立中央高校,160㎝,かのう,娘役,月組→星組,2004年,
速水リキ,はやみ りき,7月19日,神奈川県横浜市,鶴見女子高校,168㎝,リキ、さやか,娘役,花組→宙組,2004年,
水城レナ,みずしろ れな,6月23日,埼玉県,浦和ルーテル学院,168㎝,レナ,男役,星組,2001年,妹は天翔ゆうり
月船さらら,つきふね さらら,5月8日,滋賀県大津市,平安女学院高校,168㎝,みずえ、さらら,男役,月組→宙組→月組,2005年,
冴輝星也,さえき せいや,9月23日,大阪市,帝塚山学園,171㎝,せいや,男役,雪組→宙組,2000年,
星風エレナ,ほしかぜ えれな,10月27日,千葉県市川市,玉川聖学院,164㎝,れいれい,娘役,星組,2009年,
麻夏せれな,あさか せれな,3月2日,東京都,東洋英和女学院高等部,160㎝,ありちゃん、せれな,娘役,雪組,2001年,
月丘七央,つきおか ななお,4月10日,大阪府,府立守口東高校,171㎝,さくP,男役,星組→宙組,2006年,
鮎奈さえ,あゆな さえ,10月11日,東京都大田区,田園調布雙葉高校,158㎝,あゆ,娘役,雪組,2000年,
未宙星沙,みひろ せいさ,10月6日,埼玉県鳩ヶ谷市,県立鳩ケ谷高校,165.5㎝,みひろ、みなこ,男役,花組,2004年,
白樺湖夕,しろか こゆ,3月11日,長野県,県立岩村田高校,162㎝,こゆちゃん,娘役,雪組,2001年,
青空弥ひろ,あおぞら やひろ,6月19日,大阪市,府立阿倍野高校,167㎝,ひろ,男役,星組,2006年,
輝乃琴星,きの ことせ,6月15日,神奈川県藤沢市,県立藤沢西高校,167㎝,ちょーちゃ、なおみ,男役→娘役,花組,2001年,
