芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
瑠音 舞佳,るね まいか,5月10日,大阪府大阪市,百合学院中学,167㎝,るねるね,男役,花組,2003年,
沙央 くらま,さおう くらま,3月3日,東京都中野区,明星学園中学,168㎝,コマ,男役,雪組→月組→専科,2018年,
華城 季帆,かしろ きほ,9月1日,静岡県富士市,県立吉原高校,164㎝,きほ,娘役,花組,2006年,
鶴美 舞夕,つるみ まゆう,1月14日,愛知県津島市,愛知淑徳高校,168㎝,ドイ,男役,星組,2015年,
美夢 ひまり,みゆめ ひまり,3月31日,東京都立川市,啓明学園,163㎝,ひまり,娘役,月組,2011年,
音花 ゆり,おとはな ゆり,12月16日,兵庫県宝塚市,雲雀丘学園中学,161㎝,ころ,娘役,星組,2015年,母は朱穂芽美、妹は相武紗季
紫水 梗華,しみず きょうか,11月2日,大阪府大阪市,大阪国際大和田高校,160㎝,まこと,娘役,月組,2007年,
和音 美桜,かずね みおう,4月21日,大阪府大阪市,甲南女子中学,160㎝,たっちん、ひーた、美桜,娘役,宙組,2008年,妹は琴音和葉
八雲 美佳,やくも みか,12月9日,大分県三重町,自由の森学園高等部,169㎝,きみつん、やくも,男役,宙組,2008年,
晴華 みどり,はるか みどり,6月7日,栃木県上都賀郡,國學院大學栃木高校,159㎝,かおり,娘役,雪組,2011年,
綾月 せり,あやづき せり,10月19日,千葉県市川市,大妻高校,168㎝,せり、ファービー,男役,月組,2018年,
彩橋 みゆ,あやはし みゆ,12月29日,東京都多摩市,都立神代高校,159㎝,みゆ、まみこ,娘役,月組,2007年,
萌花 ゆりあ,もえか ゆりあ,12月2日,和歌山県和歌山市,和歌山大学教育学部附属中学,162㎝,ゆりあ,娘役,月組,2016年,妹は萌野りりあ
白帆 凜,しらほ りん,10月8日,埼玉県草加市,共立女子高校,169㎝,おと,男役,雪組,2007年,
咲花 杏,さきはな あん,11月18日,京都府京都市,京都西高校,160㎝,さき,娘役,宙組,2007年,
南帆 サリ,みなほ さり,5月28日,千葉県柏市,十文字学園,161㎝,あべちゃん,娘役,星組,2008年,
星紀 はんな,せいき はんな,1月3日,神奈川県川崎市,大西学園高校,172㎝,ドルチェ,男役,花組,2007年,
初姫 さあや,はつひめ さあや,10月30日,東京都新宿区,川村学園,160㎝,さあや,娘役,花組,2013年,
早霧 せいな,さぎり せいな,9月18日,長崎県佐世保市,県立佐世保西高校,167㎝,ちぎ,男役,宙組→雪組,2017年,
夢乃 聖夏,ゆめの せいか,7月21日,佐賀県佐久市,市立中央中学,172㎝,せいか、イノ,男役,星組→雪組,2015年,
日向 燦,ひなた さん,10月7日,大阪府河内長野市,市立美加の台中学,170㎝,マメ,男役,花組,2009年,
舞羽 恵,まいは めぐみ,12月15日,高知県中村市,学芸高校,158㎝,オダニ,娘役,星組,2005年,
花緒 このみ,はなお このみ,1月2日,東京都世田谷区,佼成学園女子高校,161㎝,ときこ、とき,娘役,雪組,2006年,
紫陽 レネ,しよう れね,9月4日,神奈川県藤沢市,湘南工科大学附属高校,169㎝,レネ,男役,花組,2009年,
美牧 冴京,みまき さきょう,7月21日,愛知県知多市,名古屋短期大学附属高校,169㎝,さきょー,男役,宙組,2009年,
華 乃星矢,かの せいや,8月6日,東京都板橋区,日本女子大学附属高校,173㎝,ヌッカ,男役,星組,2003年,
鞠輝 とわ,まりき とわ,6月19日,三重県津市,県立津東高校,162㎝,とわ、ななほ,娘役,雪組,2009年,
白鳥 かすが,しらとり かすが,6月7日,石川県金沢市,星稜高校,168㎝,チャー,男役,月組→花組,2008年,
龍 真咲,りゅう まさき,12月18日,大阪府東大阪市,城星学園,170㎝,カワモ,男役,月組,2016年,
華凜 もゆる,かりん もゆる,8月6日,北海道札幌市,北海道札幌厚別高校,164㎝,あす、もゆる,娘役,宙組,2009年,
榎 登也,えのき とうや,1月27日,神奈川県三浦郡,清泉女学院,169㎝,とーやん,男役,月組,2009年,
朋夏 朱里,ともか しゅり,8月23日,鹿児島県大島郡,県立沖永良部高校,173㎝,シュリ,男役,宙組,2007年,
真灯 かなた,まとう かなた,7月15日,東京都豊島区,洗足学園大学附属第一高校,172㎝,マトゥー、かなた,男役,星組,2004年,
麻月 れんか,あつき れんか,9月28日,福岡県久留米市,県立久留米高校,167㎝,りこ、あつき,男役,月組,2009年,
衣咲 真音,いさき まおと,7月21日,東京都世田谷区,松陰高校,168㎝,マオト,男役,雪組,2009年,
彩 みづ希,あや みづき,1月4日,東京都品川区,日本女子大学附属高校,168㎝,ふーちん,男役,雪組,2006年,母は美矢かほる
純花 まりい,じゅんか まりい,11月1日,東京都中野区,中野区立第十中学,162㎝,まりぃ,娘役,星組,2009年,
千 尋悠,ちひろ ゆう,7月2日,東京都中野区,都立富士高校,169㎝,うたこ、うたちゃん,男役,花組,2005年,
草風 なな,くさかぜ なな,7月7日,静岡県浜松市,浜松開誠館高校,159㎝,なな、てんら,娘役,月組,2007年,姉は草凪萌
姿央 みやび,しおう みやび,11月16日,長野県佐久市,長野県立野沢南高校,164㎝,みやび,娘役,花組,2006年,
岬 麗,みさき れい,8月11日,宮城県気仙沼市,県立鼎が浦高校,169㎝,じゅん,男役,雪組,2007年,
音海 ゆうま,おとみ ゆうま,4月24日,大阪市中央区,樟蔭高校,172㎝,るんば、ウダカ,男役,星組,2005年,
