芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
稻葉 とし子,いなば としこ,,北海道旭川市,,百人一首,,,1925年,在団中に逝去妹は山野松子・朱雀葉子
沖津 浪子,おきつ なみこ,,兵庫県神戸市,,百人一首,かっちゃん,男役,1925年,白井鐵造夫人
音羽 瀧子,おとわ たきこ,,和歌山県田辺市,,百人一首,,娘役,1927年,堀正旗夫人妹は白濱小浪姪は音羽滝子甥は宝塚歌劇団作曲家・高橋城
瀧野 久子,たきの ひさこ,,大阪府大阪市淀川区,,百人一首,,,1928年,実兄は作曲家の山内匡二
千早 多津子,ちはや たつこ,3月25日,大阪府大阪市天王寺区,,百人一首,,男役,1934年,
芦野 波江,あしの なみえ,,大阪府大阪市東成区,,百人一首,,,1931年,
嵐 雪子,あらし ゆきこ,,大阪府大阪市中央区,,百人一首,,,1924年,
滋賀 立子,しが りつこ,,滋賀県大津市,,百人一首,,娘役,1925年,
白菊 初子,しらぎく はつこ,,兵庫県西宮市,,百人一首,,,1931年,
住野 加代子,すみの かよこ,,,,百人一首,,,不明,
富士野 高子,ふじの たかこ,,大阪府大阪市西区,,百人一首,,,1926年,娘は藤乃高子
槙野 のぼる,まきの のぼる,,大阪府大阪市北区,,百人一首,,,1924年,在団中に逝去
若沼 月香,わかぬま つきか,,大阪府大阪市北区,,百人一首,,,1925年,
白 妙衣子,しろたえ きぬこ,,京都府京都市下京区,,百人一首,,娘役,1926年,
原 幹子,はら みきこ,,大阪府大阪市淀川区,,百人一首,,,1925年,姉は篠原淺茅
夢路 すみ子,ゆめじ すみこ,,京都府京都市,,百人一首,,娘役,1926年,妹は岸小枝子
岸小 枝子,きし さえこ,,京都府京都市,,百人一首,,娘役,1931年,姉は夢路すみ子
岸浪 子,きし なみこ,,,,百人一首,,,不明,
網代木 渡,あじろぎ わたる,,山形県鶴岡市,,百人一首,,,1930年,妹は直木眞弓・愛鶴千足
渡瀬 しも子,わたせ しもこ,,岐阜県高山市,,百人一首,,,1924年,
