芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
彩風 咲奈,あやかぜ さきな,2月13日,愛媛県大洲市,大洲市立大洲北中学,173㎝,さきな,男役,雪組,,
菜那 くらら,なな くらら,9月28日,大阪府吹田市,聖母被昇天学院高校,161㎝,くらら,娘役,花組,2018年,
蒼羽 りく,そらはね りく,10月13日,東京都府中市,東京都立神代高校,173㎝,りく,男役,宙組,2019年,
輝城 みつる,きじょう みつる,6月9日,茨城県水戸市,県立水戸第二高校,168㎝,ジョー,男役,月組,2017年,
舞園 るり,まいその るり,2月21日,東京都世田谷区,富士見丘高校,159㎝,るり、もっちー,娘役,雪組,2015年,
真輝 いづみ,まき いづみ,1月27日,東京都練馬区,東星学園高校,169㎝,さお、さおりん,男役,花組,2015年,母は美樹ひろみ
花陽 みら,はなひ みら,4月15日,茨城県日立市,十王中学,160㎝,みく、みら,娘役,月組,2016年,
結乃 かなり,ゆいの かなり,10月11日,兵庫県神戸市,県立芦屋高校,164㎝,かなり,娘役,宙組,2018年,
水瀬 千秋,みずせ ちあき,10月11日,東京都府中市,浅間中学,160㎝,ちゃき,娘役,星組,2009年,
大河 凜,たいが りん,7月10日,大阪府池田市,豊中市立第十三中学,168㎝,ミッシェル、しず、いのっち,男役,花組,2014年,
帆風 成海,ほかぜ なるみ,4月2日,愛媛県四国中央市,川之江高校,169㎝,ひろひろ、なるなる,男役,雪組,2015年,
桜帆 ゆかり,さほ ゆかり,12月2日,鳥取県鳥取市,鳥取市立中ノ郷中学,161㎝,さほ、しほりん、ティガー,娘役,花組,2015年,
紗那 ゆずは,さな ゆずは,3月18日,神奈川県川崎市,カリタス女子高校,162㎝,みつ子、ゆっこ,娘役,月組,2013年,
舞羽 美海,まいはね みみ,8月22日,兵庫県西宮市,百合学院高校,161㎝,みっちぃ、みみ,娘役,雪組,2012年,
十碧 れいや,とあ れいや,4月14日,愛知県名古屋市,熱田高校,175㎝,れいや,男役,星組,2018年,
夢妃 杏瑠,ゆめき あんる,1月16日,兵庫県伊丹市,県立宝塚北高校,161㎝,あんる,娘役,星組,2021年,
航琉 ひびき,わたる ひびき,12月13日,東京都国分寺市,カリタス女子高校,173㎝,キョン,男役,花組,,
瀬音 リサ,せおと りさ,9月5日,東京都荒川区,川村学園,163㎝,ありぃ、あー,娘役,宙組,2017年,
亜 聖樹,あせい いつき,2月1日,大阪府豊中市,大阪府立北野高校,168㎝,あっきょん,男役,雪組,2014年,
愛月 ひかる,あいづき ひかる,8月23日,千葉県市川市,私立日出学園中学,173㎝,あいあい、こくぶ,男役,宙組→専科→星組,2021年,
七瀬 りりこ,ななせ りりこ,8月7日,兵庫県,私立相愛高校,159㎝,りりこ,娘役,宙組,2011年,
星吹 彩翔,ほしぶき あやと,10月2日,京都府京都市,京都市立大原野中学,169㎝,モンチ、いけっち,男役,宙組,2020年,
真凜 カンナ,まりん かんな,10月2日,宮崎県延岡市,県立延岡西高校,162㎝,カンナ,娘役,月組,2011年,
凪 咲星南,なぎさ せいな,8月24日,熊本県玉名市,玉名市立玉名中学,162㎝,せーな、ミキティー、いそっぷ,娘役,花組,2014年,
夏樹 れい,なつき れい,11月6日,大阪府池田市,雲雀丘学園,170㎝,ロコ,男役,星組,2017年,
夢城 えれん,ゆめしろ えれん,11月5日,大阪府大阪市,北野高校,161㎝,えれん,娘役,星組,2014年,
桜咲 彩花,おうさき あやか,10月31日,大阪府豊能郡,箕面自由学園,164㎝,べー,娘役,花組,2019年,
芹 香斗亜,せりか とあ,1月20日,兵庫県神戸市,神戸海星女子学院中学,172㎝,とあ,男役,星組→花組→宙組,,母は白川亜樹
星輝 つばさ,ほしき つばさ,6月15日,兵庫県宝塚市,仁川学院中学,173㎝,きえ、つばさ,男役,月組,2015年,
愛白 もあ,あいしろ もあ,9月8日,大阪府堺市,プール学院中学,161㎝,もあ,娘役,宙組,2019年,姉は朝都まお
珠華 ゆふ,たまはな ゆふ,6月19日,福岡県糸島郡,町立二丈中学,164㎝,ゆふ,娘役,星組,2015年,
風海 恵斗,かざみ けいと,12月22日,兵庫県神戸市,神戸国際高校,171㎝,ケイト、MARU,男役,宙組,2011年,
舞遠 きあら,まおん きあら,12月28日,東京都小金井市,文華女子高校,164㎝,つーか,娘役,雪組,2008年,
凰姿 有羽,おうしな ゆう,5月9日,北海道小樽市,北海道小樽潮陵高校,170㎝,おー、ムヒ,男役,星組,2014年,
雪 乃心美,ゆきの ここみ,5月23日,北海道河西郡芽室町,北海道立帯広柏葉高校,160㎝,ここみ、うさぎ,娘役,宙組,2012年,
鳳龍 あや,ほうりゅう あや,8月31日,東京都世田谷区,東京文化高校,169㎝,タッキー、タキトゥー,男役,花組,2011年,後に鳳龍アヤに改名
華吹 乃愛,はなぶき のあ,5月14日,愛知県名古屋市,金城学院高校,163㎝,のあ,娘役,雪組,2012年,
空乃 みゆ,そらの みゆ,2月14日,千葉県富里市,千葉敬愛高校,159㎝,ぴろみ、ろみ,娘役,星組,2017年,
都月 みあ,つづき みあ,4月26日,神奈川県横浜市,立教女学院高校,160㎝,みあ,娘役,月組,2014年,
星那 由貴,ほしな ゆたか,1月21日,愛知県名古屋市,名古屋女子大学高校,168㎝,ゆたか、ユッキー,男役,月組,2016年,
美宙 果恋,みそら かれん,7月24日,宮城県仙台市,宮城第一女子高校,161㎝,あーこ、むぎ,娘役,月組,2011年,
花 奈澪,はなな みお,10月7日,東京都杉並区,鷗友学園女子高校,163㎝,みおっぺ、みーたん,娘役,花組,2014年,
彩歌 しおん,さやか しおん,12月1日,大阪府,四條畷学園高校,159㎝,ありぴぃ,娘役,星組,2011年,
鈴蘭 まあや,すずらん まあや,10月13日,大阪府大阪市,市立東我孫子中学,159㎝,まあや,娘役,雪組,2011年,
