芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
音綺 みあ,おとき みあ,8月28日,兵庫県宝塚市,県立宝塚北高校,161㎝,ちゃみ、みゃあ,娘役,雪組,,
早瀬 まほろ,はやせ まほろ,10月13日,東京都練馬区,都立総合芸術高校,169㎝,やませ、まほろ,男役,星組,,
美鈴 桜,みすず さくら,7月20日,東京都豊島区,日本女子大学附属高校,160㎝,みすず、さくらみょん,娘役,星組,,
翠笙 芹南,すいしょう せりな,1月9日,大阪府池田市,梅花高校,163㎝,セリナ、しょう,娘役,花組,,
帆華 なつ海,ほばな なつみ,8月18日,大阪府大阪市,帝塚山高校,163㎝,なみほ、バナナ,娘役,月組,,
月世 麗,つきよ れい,4月2日,大阪府大阪市,帝塚山学院高校,178㎝,ボー、Tamao,男役,花組,,
風美 はる帆,かざみ はるほ,2月17日,神奈川県横浜市,法政大学国際高校,169㎝,ひじき、るーきー,男役,花組,,
楓莉 かの,ふうり かの,7月30日,東京都日野市,明星学園高校,161㎝,ふーりん,娘役,宙組,,
乃々 れいあ,のの れいあ,9月11日,福岡県福岡市,筑紫女学園高校,163㎝,のの、このの,娘役,月組,,
花綺 ちさと,はなき ちさと,6月3日,岡山県岡山市,県立岡山大安寺中等教育学校,164㎝,ちさと、さーぱん,娘役,花組,,
翔 ゆり愛,しょう ゆりあ,9月14日,静岡県静岡市,県立清水南高校,171㎝,ゆりあ、あーね、ショー,男役,月組,,
律希 奏,りつき そう,2月17日,神奈川県川崎市,東洋英和女学院高等部,169㎝,えり、そう,男役,雪組,,
輝星 成,きせい なる,9月10日,愛知県名古屋市,金城学院高校,173㎝,ひなた,男役,宙組,,
湖ノ花 なり,このか なり,12月16日,福岡県久留米市,久留米商業高校,160㎝,なり,娘役,星組,,
朝絵 咲名,あさえ さな,1月22日,東京都北区,日本女子大学附属高校,161㎝,ちゃちゃ,娘役,宙組,,
朱鷺 あおい,とき あおい,12月27日,東京都目黒区,目黒星美学園中学高校,161㎝,とき、なっちょこ,娘役,月組,,
逢莉 しゅん,あいり しゅん,4月19日,神奈川県横浜市,横浜清風高校,169㎝,ディオ、しおまる、しゅん,男役,星組,,
花綾 れい,かりょう れい,7月26日,大阪府寝屋川市,四條畷学園中学,169㎝,ほのち、ほのちゃん,男役,星組,,
結翔 恋,ゆいと れん,2月25日,東京都東村山市,日本女子大学附属高校,170㎝,たちこ、れん,男役,雪組,,
響 望歌,ひびき もか,12月13日,埼玉県さいたま市,学習院女子高等科,171㎝,のん、ひびき,男役,宙組,,
梨乃 すずらん,りの すずらん,10月27日,大阪府大阪市,帝塚山学院高校,163㎝,りぃ、すずらん,娘役,月組,,
飛翔 れいや,ひしょう れいや,4月5日,東京都小金井市,国立音楽大学附属高校,173㎝,もにか、もっち、もにもに,男役,月組,,
風白 ルイ,かぜしろ るい,1月10日,東京都目黒区,慶應義塾女子高校,170㎝,れいち,男役,花組,,
祈菜 さあや,きな さあや,7月2日,東京都新宿区,聖心女子学院高等科,160㎝,ひな,娘役,雪組,,
宇河 キラ,うかわ きら,7月27日,東京都八王子市,共立女子第二高校,164㎝,うかきら,娘役,宙組,,
夢希 舞香,ゆめき まいか,9月18日,大阪府池田市,仁川学院高校,164㎝,まいん,娘役,花組,,
空輝 紫夕,そらき しゆう,1月27日,大阪府豊中市,梅花高校,170㎝,ばん、しゆう,男役,宙組,,
桜菜 みのり,さくらな みのり,8月21日,大阪府茨木市,府立北千里高校,164㎝,みのり、なんなん,娘役,雪組,,
飛月 夏純,ひづき かすみ,7月17日,千葉県四街道市,千葉英和高校,174㎝,しょの,男役,宙組,,
美琴 ゆゆ,みこと ゆゆ,2月12日,兵庫県神戸市,神戸海星女子学院高校,162㎝,ゆっか、ゆうか、ゆゆゆん,娘役,星組,,
咲葉 えめ,さきは えめ,8月12日,兵庫県川西市,市立西宮高校,159㎝,さっきー、はまちゃん,娘役,花組,,
星姫 あやか,ほしひめ あやか,1月20日,東京都文京区,和洋九段女子高校,160㎝,Tamako,娘役,雪組,,
星奈 蘭,ほしな らん,7月19日,大阪府大阪市,帝塚山学院高校,158㎝,らんらん、じゅんな,娘役,星組,,母は萩尾仁美
日向 みなき,ひゅうが みなき,12月18日,東京都杉並区,明治学院高校,171㎝,みなき、ぶんぶん,男役,月組,,
彩香 涼,いろか りょう,4月19日,東京都調布市,大妻多摩高校,171㎝,さえぽん、さえつん,男役,星組,,
清見 ひかり,きよみ ひかり,2月2日,大阪府藤井寺市,府立三国丘高校,170㎝,MJ,男役,雪組,,
央河 希涼,おうが きりょう,10月6日,愛知県豊田市,聖カピタニオ女子高校,175㎝,はお、ダニー,男役,月組,,
優帆 なぎさ,ゆうほ なぎさ,1月7日,神奈川県三浦郡,清泉女学院,178㎝,なぎ、なぎぼー,男役,花組,,
ゆり 遥,ゆり はるか,9月26日,新潟県新潟市,新潟第一高校,163㎝,ちゅみ,娘役,宙組,,
碧月 光,あおつき こう,8月10日,山梨県甲府市,駿台甲府高校,170㎝,あお、こう、もちり,男役,,,
