芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
舞空 瞳,まいそら ひとみ,8月27日,神奈川県横浜市,北鎌倉女子学園中学,164㎝,ひっとん,娘役,花組→星組,,入団時の芸名は舞空美瞳（まいそら みみ）
天飛 華音,あまと かのん,2月9日,鹿児島県鹿児島市,市立吉野中学,171㎝,NON、ぷっく,男役,星組,,
咲城 けい,さきしろ けい,4月21日,兵庫県西宮市,小林聖心女子学院中学,169㎝,さんちゃん,男役,星組,,
花宮 沙羅,はなみや さら,2月6日,埼玉県川越市,日本音楽高校,161㎝,さら,娘役,宙組,,
湖風 珀,こかぜ はく,8月18日,福岡県北九州市,西南女学院,172㎝,いとゆ,男役,宙組,,
風色 日向,かぜいろ ひゅうが,6月23日,東京都練馬区,区立開進第四中学,175㎝,ひゅーが、ひなこ,男役,宙組,,
彩海 せら,あやみ せら,12月2日,鹿児島県鹿児島市,鹿児島女子高校,169㎝,あみ,男役,雪組→月組,,
紅 咲梨乃,くれさき りの,5月15日,兵庫県尼崎市,甲南女子中学,162㎝,とっく、りの、とくてぃー,娘役,星組,,
菜々野 あり,ななの あり,5月9日,高知県高知市,土佐女子高校,160㎝,ななあり、ありこ,娘役,月組,,
天愛 るりあ,あまな るりあ,9月19日,岡山県岡山市,岡山城東高校,164㎝,るー,娘役,月組,,妹は天咲礼愛
一星 慧,いっせい けい,10月4日,神奈川県川崎市,トキワ松学園高校,178㎝,いっせい,男役,月組,,
三空 凜花,みく りんか,10月24日,長崎県大村市,長崎日本大学高校,165㎝,みくりん,娘役,花組,,
蘭世 惠翔,らんぜ けいと,4月27日,東京都渋谷区,日本女子大学附属高校,170㎝,ゆうき,男役→娘役,月組,,
柊木 絢斗,ひいらぎ あやと,2月18日,大阪府池田市,小林聖心女子学院中学,169㎝,みよっしー、みよっぴ,男役,月組,,
真友月 れあ,まゆづき れあ,7月27日,埼玉県熊谷市,市立富士見中学,170㎝,めい、れあ,男役,雪組,,
一禾 あお,いちか あお,4月22日,京都府京都市,ノートルダム女学院中学,171㎝,まみ、あお,男役,雪組,,双子の姉は有愛きい
都 優奈,みやこ ゆうな,5月8日,福岡県福岡市,福岡女学院高校,163㎝,ゆうな,娘役,星組,,
侑輝 大弥,ゆき だいや,7月2日,埼玉県所沢市,県立芸術総合高校,173㎝,だいや,男役,花組,,
有栖 妃華,ありす ひめか,7月4日,東京都世田谷区,日本女子大学附属高校,162㎝,ありす,娘役,雪組,,
奏碧 タケル,そうあ たける,12月16日,山口県柳井市,県立岩国高校,172㎝,さっこ,男役,星組,,
太凰 旬,たおう しゅん,11月26日,福岡県福岡市,福岡大学附属大濠高校,171㎝,ふうこ、たおしゅん,男役,花組,,
南音 あきら,なおと あきら,10月3日,宮崎県宮崎市,日向学院高校,174㎝,かっとぅー、かつあき,男役,花組,,
大楠 てら,おおくす てら,11月7日,東京都大田区,日本女子大学附属高校,180㎝,まるちゃん,男役,月組,,
鈴美梛 なつ紀,すずみな なつき,9月12日,広島県広島市,ノートルダム清心高校,163㎝,すず、なつき,娘役,花組,,妹は彩姫みみ
凰海 るの,おうみ るの,5月20日,東京都大田区,横浜雙葉高校,168㎝,まゆも、SAYA,男役,宙組,,姉は茉玲さや那
春乃 さくら,はるの さくら,3月11日,京都府京都市,府立鳥羽高校,165㎝,さー,娘役,宙組,,
涼花 美雨,すずはな みう,6月23日,兵庫県西宮市,武庫川女子大学附属高校,163㎝,すずね、すず,娘役,雪組,,
琥白 れいら,こはく れいら,10月7日,福島県郡山市,日本大学東北高校,170㎝,ぶっちー,男役,雪組,2022年,
水乃 ゆり,みずの ゆり,10月7日,東京都葛飾区,私立愛国高校,164㎝,みずのちゃん,娘役,星組,,
陽雪 アリス,ひゆき ありす,1月13日,兵庫県宝塚市,小林聖心女子学院高校,161㎝,アリス、MINAMI,娘役,宙組,2019年,
夢風 咲也花,ゆめかぜ さやか,2月26日,大阪府池田市,梅花高校,165㎝,おさや,娘役,宙組,,
潤 花,じゅん はな,9月19日,北海道旭川市,旭川藤女子高校,164㎝,かの,娘役,雪組→宙組,,
稀羽 りんと,まれは りんと,11月9日,和歌山県岩出市,関西大学第一高校,169㎝,りんと,男役,雪組,,
理央 ひかる,りお ひかる,8月19日,神奈川県横浜市,聖ドミニコ学園中学,169㎝,ほみ、ほみちゃん,男役,花組,2019年,
澄華 あまね,すみか あまね,2月26日,東京都杉並区,昭和女子大学附属昭和中学,162㎝,あまね,娘役,星組,2021年,
桜月 のあ,おうづき のあ,9月14日,兵庫県芦屋市,仁川学院中学,165㎝,のあ,娘役,花組,2022年,
鳳 真斗愛,ほうま とあ,10月3日,大阪府茨木市,梅花高校,173㎝,とあ、もえか,男役,星組,,
輝 ゆう,かがやき ゆう,11月3日,大阪府高槻市,向陽台高校,175㎝,おかゆ,男役,宙組,,
摩耶 裕,まや ゆたか,9月9日,兵庫県加古川市,賢明女子学院高校,162㎝,ゆたか、まやや,娘役,月組,2021年,母は胡蝶明日香
