芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
碧空 瞳,あおぞら ひとみ,4月25日,大阪府大阪市,茨木高等女学校,いつも澄み切った碧空のように,オタマちゃん,,1957年,
朝香 美鶴,あさか みつる,3月12日,大阪府,,,ヨータン,,1954年,
芦影 みさを,あしかげ みさお,,,,,,,1950年,
芦刈 京子,あしかり きょうこ,6月20日,大阪府大阪市,大阪淀川女子商業学校,淀川の句「すれあえば津の音出だすこれぞう殿の芦刈御船」,オツちゃん,,1956年,
綾 にしき,あや にしき,11月20日,大阪府大阪市,相愛女子専門学校,長唄「蓬來」,チマ,,1951年,エッセイスト・福田勝路夫人
安由美 恵子,あゆみ けいこ,,,,,,,1950年,
有波 千鶴,ありなみ ちづる,,,,,,,1951年,改名後・照丘玲子（てるおか れいこ）
稲舟 月子,いなぶね つきこ,,,,,,,1951年,
潮 千浪,うしお ちなみ,1月3日,京都府京都市,曽根実業専修女学校,,サカグチさん,,1955年,
小月 妙子,おづき たえこ,2月6日,大阪府,樟蔭高等女学校,,シーちゃん,,1952年,
赫夜 公子,かぐや きみこ,,,,,,,1949年,
春日井 明美,かすがい あけみ,9月15日,兵庫県神戸市,神戸第一高等女学校,春日神社の水取りに因む,しばっちゃん,,1957年,改名後・春日井真澄（かすがい ますみ）作曲家・加納光紀夫人
加茂 雅也,かも まさや,7月23日,京都府京都市,尼崎市立高等女学校,,マスノさん,,1954年,
京 かもめ,きょう かもめ,1月4日,京都府,城巽女子商業学校,,ニワッチョニッちょん,,1953年,改名後・京千鶴（きょう ちづる）
九重 千鶴,ここのえ ちづる,10月1日,中華人民共和国青島市,府立豊中高等女学校,,キョーちゃんカッパキョンベエ,,1954年,
寿 美子,ことぶき よしこ,,,,,,,1949年,
小春 三千代,こはる みちよ,2月6日,大阪府大阪市,羽衣高等女学校,,カヅちゃん,,1953年,
小百合 えみ,さゆり えみ,12月10日,兵庫県宝塚市,,,,,1951年,
小路 映子,しょうじ えいこ,,,,,,,1948年,
白菊 一枝,しらぎく かずえ,,,,,,,1949年,
末広 松子,すえひろ まつこ,,,,,,,1948年,
姿 美也子,すがた みやこ,11月29日,兵庫県尼崎市,園田高等女学校,,トモちゃん,,1955年,
須波 千尋,すなみ ちひろ,8月21日,兵庫県神戸市須磨区,神戸山手高等女学校,須磨の海,マツさん,,1957年,
竹屋 みゆき,たけや みゆき,6月26日,京都府京都市,京都府立第一高等女学校,京都市中京区内の地名に因んで,滿子ちゃん,,1958年,妹は梅屋かをる
橘 晶代,たちばな あきよ,3月14日,兵庫県神戸市,伊丹高等女学校,母の家紋・橘本名,,,1956年,
月待 かなへ,つきじ かなえ,,,,,,,1948年,在団中に逝去
月乃江 久美,つきのえ くみ,,,,,,,1948年,
月笛 さやか,つきぶえ さやか,3月1日,兵庫県西宮市,松蔭女子学院,,チコちゃん,,1975年,改名後・岬ありさ（みさき ありさ）姉は御山櫻
難波津 美舟,なにわづ みふね,2月22日,大阪府大阪市,金蘭会高等女学校,万葉集,,,1954年,
花 うたげ,はな うたげ,,,,,,,1949年,
花丘 夏実,はなおか なつみ,8月13日,大阪府大阪市,夕陽丘高等女学校,,オトクオトヨ,,1955年,
浜 千鳥,はま ちどり,3月21日,大阪府吹田市,成蹊高等女学校,,マーちゃん,,1958年,改名後・白濱真砂美（しらはま まさみ）
久松 京子,ひさまつ きょうこ,,,,,,,1952年,
富美野 里枝,ふみの りえ,6月28日,大阪府大阪市,,出生地・文の里に因む,やっちゃん,,1951年,
星 耀子,ほし ようこ,1月10日,兵庫県,須磨睦高等女学校,星のようにいつも輝くように,オネコちゃん,,1952年,
三笠 眞理,みかさ まり,3月3日,兵庫県神戸市,松蔭高等女学校,三笠山のように円満であれ,オハギちゃん,,1956年,改名後・三笠比呂子（みかさ ひろこ）
美砂 ひかる,みすな ひかる,3月31日,愛知県,瀬戸高等女学校,上級生の名を貰う,ナオちゃん,,1953年,
三室 綾子,みむろ あやこ,,,,,,,1949年,
深山路 静香,みやまじ しずか,6月1日,兵庫県宝塚市,伊丹高等女学校,,マリちゃん,,1952年,改名後・都明日香（みやこ あすか）妹は山鳥友利
三輪 登起子,みわ ときこ,,,,,,,1949年,
紫 藤子,むらさき ふじこ,1月2日,京都府,京都府立第一高等女学校,引田一郎が名取名から命名,ロング,,1952年,改名後・紫雲富士子（むらぐも ふじこ）
百 ちとせ,もも ちとせ,1月17日,京都府京都市上京区,二條高等女学校,,チーちゃん,,1952年,俳優･阿井美千子
桃乃井 香織,もものい かおり,7月6日,大阪府東大阪市,樟蔭高等女学校,,ミーちゃんミーコ,両方,1955年,
八代 洋子,やしろ ようこ,4月15日,兵庫県三田市,親和高等女学校,父の郷里に因む,ハセヨーコ,男役,1958年,元川内康範夫人
八千草 薫,やちぐさ かおる,1月6日,大阪府,大阪プール学院,,ヒトミちゃん,娘役,1957年,俳優映画監督・谷口千吉夫人
大和 八志穂,やまと やしほ,,,,,サチ,,1950年,
山鳥 あけみ,やまどり あけみ,12月3日,兵庫県宝塚市,伊丹高等女学校,,ヒロちゃん,,1958年,改名後・山鳥友利（やまどり ゆり）
淀 かほる,よど かおる,1月2日,大阪府大阪市,安治川女学校,淀川,エスコノブさん,両役,1966年,
若狭 みどり,わかさ みどり,,,,,,,1950年,
若竹 笙子,わかたけ しょうこ,3月15日,大阪府大阪市,清友学院高等女学校,,ターサン,,1956年,改名後・若竹左恵子（わかたけ さえこ）夫は河野旭輝
