芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
彩海 早矢,あやみ はや,2月10日,埼玉県秩父市,秩父第二中学,170㎝,あかし,男役,星組,2010年,
和 涼華,かず りょうか,10月6日,大阪府豊中市,千里国際学園高等部,171㎝,しみこ,男役,宙組→星組,2009年,
峰華 ひさり,みねか ひさり,4月23日,東京都小平市,都立小金井北高校,162㎝,ひーちゃん、てっつー,娘役,宙組,2003年,
宙輝 れいか,そらき れいか,4月8日,大阪府松原市,松原第4中学,168㎝,あいな、そらき,男役,雪組,2006年,
湖城 ゆきの,こじょう ゆきの,3月17日,宮崎市,宮崎県立商業高校,160㎝,ゆきの、ゆち,娘役,雪組,2005年,
望月 理世,もちづき りせ,7月29日,大阪府門真市,大谷高校,168㎝,りせ,男役,花組,2009年,
憧花 ゆりの,とうか ゆりの,3月25日,兵庫県神戸市,県立鈴蘭台西高校,163㎝,ゆりの,娘役,月組,2018年,
真波 そら,まなみ そら,12月9日,兵庫県西宮市,神戸山手女子高校,170㎝,そら、まなみ,男役,雪組,2010年,
陽月 華,ひづき はな,9月2日,東京都足立区,都立飛鳥高校,164㎝,うめ,娘役,星組→宙組,2009年,
鮎瀬 美都,あゆせ みと,12月9日,愛媛県宇和島市,県立宇和島東高校,164㎝,ひを,娘役,宙組,2008年,
城咲 あい,しろさき あい,1月24日,東京都国分寺市,日本女子大学附属中学,163㎝,しろちゃん,娘役,月組,2009年,
珠 まゆら,たま まゆら,9月20日,兵庫県西宮市,小林聖心女子学院高校,159㎝,とんとん,娘役,花組,2006年,
夏輝 れお,なつき れお,1月30日,東京都世田谷区,東京文化高校,168㎝,れお,男役,月組,2004年,
天緒 圭花,あまお けいか,6月10日,東京都渋谷区,調布高校,169㎝,はま、はまちゃん,男役,星組,2010年,
舞名 里音,まいな りおん,2月16日,福岡県,福岡雙葉高校,159㎝,りおん,娘役,花組,2008年,
綾花 ちか,あやはな ちか,10月20日,神奈川県海老名市,県立厚木高校,157㎝,あやはな、キティ,娘役,宙組,2005年,
星条 海斗,せいじょう かいと,7月19日,神奈川県横浜市,アメリカンスクール,173㎝,マギー,男役,月組→専科,2018年,
凜華 せら,りんか せら,6月7日,青森市,青森明の星高校,168㎝,との,男役,星組,2004年,
花愛 瑞穂,かわい みずほ,2月1日,埼玉県東松山市,県立松山女子高校,161㎝,かあい,娘役,星組,2013年,
凰稀 かなめ,おうき かなめ,9月4日,神奈川県川崎市,私立順心女子学園中学,173㎝,おうき,男役,雪組→星組→宙組,2015年,
聖野 花珠,せいの かじゅ,1月26日,三重県松阪市,梅村学園三重中学,169㎝,カジュ,男役,宙組,2005年,
華美 ゆうか,はなみ ゆうか,7月26日,東京都大田区,東洋英和女子学院高等部,162㎝,みー,娘役,星組,2009年,
紫峰 七海,しほう ななみ,10月24日,埼玉県浦和市,浦和市立高校,171㎝,ふみか,男役,花組,2015年,
姿樹 えり緒,しき えりお,12月8日,北海道札幌市,藤女子高校,170㎝,さいこ,男役,月組,2008年,
愛野 りほ,あいの りほ,4月2日,兵庫県神戸市,神戸松蔭女子学院,162.5㎝,りほ,娘役,月組,2004年,
花野 じゅりあ,はなの じゅりあ,2月21日,東京都中野区,順心女子学園中学,163㎝,じゅじゅ、じゅりあ,娘役,花組,2019年,
一輝 慎,かずき しん,7月2日,新潟県加茂市,県立加茂高校,171㎝,かずき、ささ,男役,星組,2009年,
麻倉 ももこ,あさくら ももこ,3月21日,福岡県糸島郡,県立玄洋高校,159㎝,ももりん、ビーン,娘役,雪組,2006年,
穂月 はるな,ほづき はるな,5月3日,滋賀県近江八幡市,近江兄弟社中学,157㎝,なほみ、はるな,娘役,雪組,2009年,
青葉 みちる,あおば みちる,5月8日,富山県,県立高岡西高校,160㎝,まよまよ,娘役,月組,2008年,
遥海 おおら,はるみ おおら,9月26日,群馬県前橋市,県立前橋女子高校,169㎝,おおら,男役,宙組,2005年,
緒月 遠麻,おづき とおま,12月3日,愛知県名古屋市,菊華高校,174㎝,きたろう,男役,雪組→宙組,2015年,
美琴 さなえ,みこと さなえ,5月10日,埼玉県和光市,東京家政大学附属女子高校,160㎝,さなえ,娘役,星組,2005年,
涼花 リサ,すずはな りさ,7月26日,東京都八王子市,都立南多摩高校,163㎝,りーちゃん、リサピョン,娘役,雪組,2012年,
夏空 李光,なつぞら ももみ,9月11日,東京都杉並区,光塩女子学院,173㎝,ももみ,男役,花組,2006年,
妃鳳 こころ,ひほう こころ,3月7日,東京都,川村学園,160㎝,ひほ、こころちゃん,娘役,月組,2013年,
初瀬 有花,はつせ ゆか,7月31日,神奈川県藤沢市,湘南女子高校,158㎝,ゆっち,娘役,星組,2008年,
草凪 萌,くさなぎ もえ,10月13日,静岡県浜松市,誠心女子高校,160㎝,あすみ、てら,娘役,宙組,2004年,妹は草風なな
朝桐 紫乃,あさぎり しの,11月2日,京都府,京都女子高校,175㎝,しの、ちの、しのりのりん,男役,月組,2009年,
月路 奏,つきじ かなで,9月25日,宮城県古川市,私立古川商業高校,171㎝,かなで、ビーバ,男役,花組,2006年,
谷 みずせ,たに みずせ,2月4日,長野県佐久市,県立野南高校,167㎝,みずせ,男役,雪組,2009年,
華岡 らら,はなおか らら,5月19日,東京都大田区,調布高校,162㎝,らら,娘役,雪組,2006年,
天河 佑斗,てんが ゆうと,4月4日,長崎県島原市,県立島原商業高校,171㎝,ゆうと,男役,宙組,2005年,
