芸名,読み仮名,誕生日,出身地,出身校,芸名の由来,愛称,役柄,退団年,備考
彩鳥 かんな,あやどり かんな,,大阪府豊中市,雲雀丘学園,,かんな,娘役,2000年,
彩愛 ひかる,あやめ ひかる,,神奈川県横浜市,神奈川県立横浜日野高等学校,本名,ひかる,娘役,2008年,
一色 瑠加,いっしき るか,,兵庫県尼崎市,伊丹市立南中学校,,がちゃまい,男役,2012年,
絵麗 まりな,えれ まりな,,神奈川県鎌倉市,鎌倉女学院,本名,えれ,娘役,1999年,
桜花 れいや,おうか れいや,,東京都杉並区,成蹊高等学校,,れいこれいや,男役,2002年,
花央 レミ,かおう れみ,,東京都目黒区,東京女学館,,Remi,男役,2001年,
風美 佳希,かざみ よしき,,大阪府摂津市,大阪府立鳥飼高等学校,,しまちゃん,男役,2002年,
梶花 空未,かじか くみ,,東京都文京区,淑徳巣鴨高等学校,,あけみ,娘役,2001年,
花 純風香,かすみ ふうか,,兵庫県宝塚市,百合学院高等学校,,ひろこひーリンダ,娘役,2007年,
風緒 いぶき,かぜお いぶき,,東京都東村山市,山崎学園富士見高等学校,,ぜおいぶき,男役,2000年,
京樹 真那,けいじゅ まな,,愛知県稲沢市,聖霊学園,,ののちゃん,男役,2001年,
苑 みかげ,その みかげ,,大阪府岸和田市,岸和田高等学校,,づう川リーダー,男役,2002年,
貴羽 右京,たかはね うきょう,,山口県下関市,山口県立響高等学校,,うきょーうきょきょ,男役,2007年,
瀧川 末子,たきがわ すえこ,,愛知県海部郡,椙山女学園高等学校,祖母・母の芸名（滝川末子・瀧川末子）,すえこ,娘役,2007年,
千草 ことみ,ちぐさ ことみ,,東京都豊島区,川村学園,,ことみ,娘役,2001年,
椿火呂 花,つばき ひろか,,東京都大田区,実践女子学園高等学校,尊敬する上級生・城火呂絵,ゆうか,男役,2003年,
虹 乃夢果,にじの ゆめか,,静岡県御殿場市,加藤学園高等学校,,かっちゃん,娘役,1998年,
初 輝奏,はつき かなで,,東京都新宿区,玉川聖学院,,みうはっき,男役,1998年,
華景 みさき,はなかげ みさき,,鹿児島県鹿児島市,鹿児島女子高等学校,,みさきさがちゃん,娘役,2000年,
花瀬 みずか,はなせ みずか,,大阪府豊能郡,大阪府立池田高等学校,,あかねあーちゃん,娘役,2013年,
妃 里梨江,ひさと りえ,,神奈川県川崎市,白百合学園中学校,,みこくみこ,娘役,2000年,
ふづき 美世,ふづき みよ,,埼玉県久喜市,東邦第二高等学校,本名,ふーちゃんふー,娘役,2006年,
帆咲 りんな,ほさき りんな,,神奈川県横浜市,青蘭学院高等学校,,おりんりんな,娘役,2002年,
舞風 りら,まいかぜ りら,,東京都杉並区,堀越学園,,まーちゃんまさえ,娘役,2006年,
麻愛 めぐる,まちか めぐる,,東京都世田谷区,東京都立広尾高等学校,麻生薫より一字貰う,あい,男役,2006年,
松雪 可奈子,まつゆき かなこ,,大阪府池田市,梅花学園高等学校,,かなこ,娘役,1999年,
円 さくら,まどか さくら,,大阪府大阪市,帝塚山学院,,さくら,娘役,2002年,
真 飛聖,まとぶ せい,,神奈川県川崎市,中延学園高等学校,恩師の名前より一字貰う,ゆううんちゃん,男役,2011年,
毬奈 みほ,まりな みほ,,東京都杉並区,富士見高等学校,,みほ,娘役,1999年,
美高 望,みたか のぞみ,,大阪府箕面市,大阪女学院高等学校,母の芸名,ようこようちゃん,娘役,1998年,
光海 晶帆,みつみ あきほ,,北海道札幌市,藤女子高等学校,,しずか,男役,1998年,
美森 さやか,みもり さやか,,兵庫県宝塚市,宝塚西高等学校,,さやかバッキー,娘役,2001年,
大和 悠河,やまと ゆうが,,東京都文京区,東京家政大学附属女子中学校,,たにユウガ,男役,2009年,
悠 真倫,ゆうま りん,,大阪府豊中市,聖母被昇天学院高等学校,自分の好きな字を集める,まりんるいこ,男役,,
雪路 歌帆,ゆきじ かほ,,長野県飯山市,長野県飯山南高等学校,,京,男役,2001年,
夢 大輝,ゆめ だいき,,東京都世田谷区,田園調布雙葉高等学校,夢が大きく輝くように,たけようりゃん,男役,2006年,
夢咲 みのり,ゆめさき みのり,,神奈川県横浜市,日本音楽高等学校,「夢が咲いてみのりますように」という願いを込めて,みのりんあや,娘役,2001年,
夢路 ほのか,ゆめじ ほのか,,神奈川県川崎市,神奈川県立百合丘高等学校,,みずほ,娘役,2001年,
ゆり 香紫保,ゆりか しほ,,埼玉県戸田市,跡見学園高等学校,尊師より貰う,かよDucky,娘役,2009年,
美乃 杏花,よしの きょうか,,大阪府豊能郡,大阪府立渋谷高等学校,,コニ,娘役,2000年,
蘭香 レア,らんか れあ,,和歌山県和歌山市,和歌山信愛女子短期大学附属中学校,,レアまや,男役,2001年,
