芸名,読み仮名,誕生日,出身地,出身校,身長,愛称,役柄,配属,退団年,備考
千隼 悠,ちはや ゆう,5月16日,愛知県名古屋市,聖霊高校,172cm,ちはや,男役,,,
瑠希 友杏,るき ゆあん,6月14日,岡山県岡山市,国立岡山大学教育学部附属中学,172cm,ゆあん、るぅ、まめこ,男役,,,
絢花 澪,あやはな みお,3月27日,兵庫県明石市,県立明石北高校,163cm,あやね,娘役,,,
瞳花 みれ,とうか みれ,9月29日,岡山県岡山市,県立岡山一宮高校,164cm,みれ、まなみん、なんなん,娘役,,,
詩羽 月乃,うたは つきの,11月23日,兵庫県宝塚市,関西学院中学部,162cm,ちゅん、ベベ,娘役,,,
綺陽 なぎ,あやひ なぎ,8月30日,東京都葛飾区,大妻中学,170cm,つむ,男役,,,
琉月 りお,るつき りお,9月18日,愛知県小牧市,金城学院高校,169cm,おりお、ノノノ,男役,,,
春彩 いのり,はるいろ いのり,11月15日,愛知県名古屋市,名古屋女子大学高校,162cm,あいこ、いのり,娘役,,,
雪乃 あい,ゆきの あい,10月5日,神奈川県横浜市,横浜雙葉高校,160cm,ユズ、ゆうか,娘役,,,
湖響 ゆう姫,こきょう ゆうひ,1月3日,滋賀県大津市,滋賀大学教育学部附属中学,161cm,ゆうか、うーたん,娘役,,,
綾城 潤,あやしろ じゅん,3月15日,東京都荒川区,跡見学園高校,170cm,れいか,男役,,,
羽月 涼風,はつき すずかぜ,8月3日,茨城県水戸市,県立水戸第二高校,169cm,すずかぜ、おすず,男役,,,
陽咲 かりん,ひさき かりん,3月17日,愛知県名古屋市,県立名古屋西高校,161cm,かなこち,娘役,,,
実鞠 うい,みまり うい,1月21日,愛知県名古屋市,金城学院高校,160cm,うい、ぶー,娘役,,,
ひまり 愛莉,ひまり あいり,2月12日,大阪府吹田市,関西大学高等部,163cm,あこ,娘役,,,
琥珀 空,こはく そら,10月13日,愛知県みよし市,愛知淑徳高校,172cm,ベビ、ハローベイビー,男役,,,
天羽 輝空,あまは きそら,4月22日,東京都目黒区,立教女学院高校,168cm,きそら、じゅり,男役,,,
帆乃 もも花,ほの ももか,5月15日,大阪府富田林市,府立河南高校,163cm,ほの,娘役,,,
朝霧 彗斗,あさぎり けいと,10月10日,鹿児島県鹿児島市,鹿児島純心女子高校,169cm,ひび,男役,,,
澄花 まい,すみか まい,8月6日,東京都目黒区,立教女学院中学,164cm,あき,娘役,,,
湊 英,みなと はな,2月6日,埼玉県さいたま市,県立芸術総合高校,169cm,はな、のうち,男役,,,
春真 幸,はるま こう,5月21日,兵庫県芦屋市,関西学院高等部,168cm,あず,男役,,,
遥陽 音,はるひ おと,9月1日,東京都大田区,神田女学園高校,169cm,あーちん、おと,男役,,,
遥花 なな,はるか なな,6月25日,京都府京都市,京都女子高校,161cm,かな、はるかな,娘役,,,
ゆるか 舞桜,ゆるか まお,6月7日,兵庫県川西市,小林聖心女子学院高校,163cm,ゆかるん、ゆかぴー,娘役,,,
白蘭 薫,びゃくらん かおる,10月23日,東京都練馬区,東洋英和女学院高等部,169cm,ビアンカ、まほ,男役,,,
花御 莉凡,はなお りぼん,1月3日,神奈川県三浦郡,北鎌倉女子学園,169cm,りぼん、さく、らっこ,男役,,,
一貴 蘭,かずき らん,10月1日,兵庫県神戸市,松蔭高校,165cm,きら,男役,,,
橙咲 じゅん,とうさき じゅん,4月26日,東京都江東区,昭和女子大学附属昭和高校,170cm,のっち、こよみ,男役,,,
路花 める,みちか める,5月22日,兵庫県川西市,梅花高校,164cm,めるめる、みちか,娘役,,,
涼雅 水,りょうが すい,1月20日,大阪府堺市,府立鳳高校,173cm,めい、ナイス,男役,,,
春月 くれあ,はるつき くれあ,6月2日,千葉県松戸市,日出学園中学,162cm,くれあ、くー,娘役,,,
七咲 りか,ななさき りか,7月11日,滋賀県東近江市,近江兄弟社高校,164cm,りか、えりか,娘役,,,
奏翔 耀,かなと よう,10月24日,神奈川県横浜市,捜真女学校高等学部,170cm,キャノン、かのん,男役,,,
瑚都 雅,こと みやび,7月11日,兵庫県伊丹市,市立南中学,169cm,こま,男役,,,
稀爽 礼,きそう らい,10月9日,兵庫県伊丹市,県立伊丹西高校,172cm,らいあ、らいらい,男役,,,
一世 羅央,いっせい らお,3月5日,福岡県福岡市,福岡女学院高校,169cm,らお,男役,,,
夏渚 稀,なつなぎ まれ,10月25日,大阪府枚方市,府立咲くやこの花高校,172cm,なつ、なぎなぎ,男役,,,
紫宮 かなめ,しのみや かなめ,5月14日,広島県広島市,広島女学院高校,164cm,みづき、もみじ,娘役,,,
